心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-21 00:16:52.219667
0,None,None,None,None,2025-07-21 00:16:53.142007
0,None,None,None,None,2025-07-21 00:16:54.078417
76.53,None,None,None,None,2025-07-21 00:16:55.003426
80.97,None,None,None,None,2025-07-21 00:16:55.925748
80.75,None,None,None,None,2025-07-21 00:16:56.824428
80.97,None,None,None,None,2025-07-21 00:16:57.803095
80.97,None,None,None,None,2025-07-21 00:16:58.730735
80.97,None,None,None,None,2025-07-21 00:16:59.656477
80.86,None,None,None,None,2025-07-21 00:17:00.586816
80.86,0,-1,-6,0,2025-07-21 00:17:01.511490
80.97,0,-1,-6,0,2025-07-21 00:17:02.408688
80.86,0,-1,-6,0,2025-07-21 00:17:03.328285
80.97,None,None,None,None,2025-07-21 00:17:04.251489
80.97,None,None,None,None,2025-07-21 00:17:05.175546
80.97,-4,0,-2,-1,2025-07-21 00:17:06.096350
80.86,-1,-1,-1,0,2025-07-21 00:17:07.024821
80.86,None,None,None,None,2025-07-21 00:17:07.952785
80.97,-7,-2,-5,-1,2025-07-21 00:17:08.888450
83.33,None,None,None,None,2025-07-21 00:17:09.814848
83.1,None,None,None,None,2025-07-21 00:17:10.741460
83.22,None,None,None,None,2025-07-21 00:17:11.673591
80.86,-1,-2,0,-1,2025-07-21 00:17:12.594851
80.86,None,None,None,None,2025-07-21 00:17:13.517080
80.97,None,None,None,None,2025-07-21 00:17:14.440438
80.86,None,None,None,None,2025-07-21 00:17:15.376297
81.08,None,None,None,None,2025-07-21 00:17:16.304609
83.1,None,None,None,None,2025-07-21 00:17:17.229923
83.22,None,None,None,None,2025-07-21 00:17:18.160067
82.99,None,None,None,None,2025-07-21 00:17:19.083936
81.08,None,None,None,None,2025-07-21 00:17:20.016661
83.22,None,None,None,None,2025-07-21 00:17:20.943970
83.1,None,None,None,None,2025-07-21 00:17:21.867830
82.99,None,None,None,None,2025-07-21 00:17:22.795514
81.08,None,None,None,None,2025-07-21 00:17:23.715650
83.22,None,None,None,None,2025-07-21 00:17:24.650376
82.99,None,None,None,None,2025-07-21 00:17:25.579733
80.97,-3,-2,4,-1,2025-07-21 00:17:26.508362
83.33,None,None,None,None,2025-07-21 00:17:27.436999
83.1,None,None,None,None,2025-07-21 00:17:28.359596
82.99,1,-1,0,-1,2025-07-21 00:17:29.285528
80.97,2,0,0,-1,2025-07-21 00:17:30.210293
83.22,None,None,None,None,2025-07-21 00:17:31.143934
83.22,0,-2,0,0,2025-07-21 00:17:32.073613
83.1,0,0,-2,-1,2025-07-21 00:17:33.000720
80.97,0,-1,-4,0,2025-07-21 00:17:33.935352
80.86,0,-1,-4,0,2025-07-21 00:17:34.861555
80.86,3,-1,-2,0,2025-07-21 00:17:35.797116
80.97,None,None,None,None,2025-07-21 00:17:36.720726
80.97,None,None,None,None,2025-07-21 00:17:37.646538
80.86,None,None,None,None,2025-07-21 00:17:38.580678
83.22,None,None,None,None,2025-07-21 00:17:39.505427
82.99,None,None,None,None,2025-07-21 00:17:40.431925
81.08,-3,-4,0,-2,2025-07-21 00:17:41.360629
82.99,None,None,None,None,2025-07-21 00:17:42.287850
81.08,None,None,None,None,2025-07-21 00:17:43.206738
83.22,None,None,None,None,2025-07-21 00:17:44.129926
82.99,None,None,None,None,2025-07-21 00:17:45.057641
81.08,None,None,None,None,2025-07-21 00:17:45.985108
83.22,-5,1,-2,-1,2025-07-21 00:17:46.912326
82.99,-1,1,3,1,2025-07-21 00:17:47.846909
80.97,1,-2,-8,-1,2025-07-21 00:17:48.764412
80.97,1,-2,-8,-1,2025-07-21 00:17:49.685658
80.86,None,None,None,None,2025-07-21 00:17:50.606625
80.86,1,0,-6,0,2025-07-21 00:17:51.528492
80.97,1,0,-6,0,2025-07-21 00:17:52.470138
80.86,None,None,None,None,2025-07-21 00:17:53.396146
80.97,None,None,None,None,2025-07-21 00:17:54.325662
83.1,8,-2,4,-2,2025-07-21 00:17:55.256811
81.08,-5,-2,-6,-2,2025-07-21 00:17:56.185436
82.99,None,None,None,None,2025-07-21 00:17:57.109616
81.08,None,None,None,None,2025-07-21 00:17:58.032768
83.1,-7,-2,-10,-1,2025-07-21 00:17:58.960045
83.1,5,1,-8,0,2025-07-21 00:17:59.889501
80.97,2,-2,-6,1,2025-07-21 00:18:00.825491
83.22,None,None,None,None,2025-07-21 00:18:01.754870
0,None,None,None,None,2025-07-21 00:18:02.685475
40.96,None,None,None,None,2025-07-21 00:18:03.575647
0,None,None,None,None,2025-07-21 00:18:04.508915
41.01,None,None,None,None,2025-07-21 00:18:05.434466
0,None,None,None,None,2025-07-21 00:18:06.373479
40.46,0,1,-1,0,2025-07-21 00:18:07.296877
0,1,0,-6,-1,2025-07-21 00:18:08.218682
40.49,None,None,None,None,2025-07-21 00:18:09.152226
0,0,0,-4,0,2025-07-21 00:18:10.081105
40.98,0,0,-4,0,2025-07-21 00:18:11.010297
0,0,0,-4,0,2025-07-21 00:18:11.935611
