心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
None,None,None,None,None,2025-07-12 00:51:54.701230
76.63,1,0,1,1,2025-07-12 00:51:55.583707
81.08,1,0,5,0,2025-07-12 00:51:56.472068
80.97,None,None,None,None,2025-07-12 00:51:57.353063
81.08,None,None,None,None,2025-07-12 00:51:58.231719
81.3,None,None,None,None,2025-07-12 00:51:59.133107
80.97,None,None,None,None,2025-07-12 00:52:00.030434
81.08,2,0,1,0,2025-07-12 00:52:00.916840
81.19,2,0,1,0,2025-07-12 00:52:01.801040
80.97,2,0,1,0,2025-07-12 00:52:02.680447
81.08,2,0,1,0,2025-07-12 00:52:03.561577
81.19,2,0,1,0,2025-07-12 00:52:04.440777
81.08,2,0,1,0,2025-07-12 00:52:05.321757
81.08,2,0,1,0,2025-07-12 00:52:06.208600
81.08,2,0,1,0,2025-07-12 00:52:07.089409
80.97,2,0,1,0,2025-07-12 00:52:07.968126
81.3,None,None,None,None,2025-07-12 00:52:08.879588
81.08,None,None,None,None,2025-07-12 00:52:09.761315
80.97,None,None,None,None,2025-07-12 00:52:10.640247
81.19,None,None,None,None,2025-07-12 00:52:11.520593
81.08,None,None,None,None,2025-07-12 00:52:12.419506
80.97,None,None,None,None,2025-07-12 00:52:13.301602
81.08,None,None,None,None,2025-07-12 00:52:14.181512
81.3,None,None,None,None,2025-07-12 00:52:15.059788
80.97,None,None,None,None,2025-07-12 00:52:15.941013
81.08,None,None,None,None,2025-07-12 00:52:16.822917
None,None,None,None,None,2025-07-12 00:52:18.838834
None,None,None,None,None,2025-07-12 00:52:20.844070
None,1,0,1,-1,2025-07-12 00:52:22.847770
None,0,0,2,0,2025-07-12 00:52:24.853826
None,0,0,2,0,2025-07-12 00:52:26.866353
None,0,0,2,0,2025-07-12 00:52:28.872340
None,0,0,2,0,2025-07-12 00:52:30.875416
None,0,0,2,0,2025-07-12 00:52:32.886369
None,0,0,2,0,2025-07-12 00:52:34.903528
None,0,0,2,0,2025-07-12 00:52:36.909558
None,None,None,None,None,2025-07-12 00:52:38.915715
None,None,None,None,None,2025-07-12 00:52:40.919753
None,None,None,None,None,2025-07-12 00:52:42.922291
None,0,0,-2,-2,2025-07-12 00:52:44.939854
None,0,0,-2,-2,2025-07-12 00:52:46.952189
None,None,None,None,None,2025-07-12 00:52:48.969038
