心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-14 21:59:37.855254
76.63,None,None,None,None,2025-07-14 21:59:38.974696
81.08,None,None,None,None,2025-07-14 21:59:40.031414
80.97,-3,1,-2,0,2025-07-14 21:59:41.074151
81.3,-2,1,-4,1,2025-07-14 21:59:42.153640
81.08,-1,0,-3,1,2025-07-14 21:59:43.227550
80.97,-1,0,-3,1,2025-07-14 21:59:44.365947
81.19,-1,0,-3,1,2025-07-14 21:59:45.533127
81.08,-1,0,-3,1,2025-07-14 21:59:46.620161
80.97,-1,0,-3,1,2025-07-14 21:59:47.774562
81.08,-1,0,-3,1,2025-07-14 21:59:48.959496
81.19,-1,0,-3,1,2025-07-14 21:59:50.096438
80.97,-1,0,-3,1,2025-07-14 21:59:51.154967
81.08,-2,-1,0,0,2025-07-14 21:59:52.266037
81.3,-2,-1,0,0,2025-07-14 21:59:53.403647
80.97,None,None,None,None,2025-07-14 21:59:54.476131
81.08,-1,-2,1,-1,2025-07-14 21:59:55.735757
81.19,0,1,-2,0,2025-07-14 21:59:56.869027
80.97,None,None,None,None,2025-07-14 21:59:57.947629
81.08,None,None,None,None,2025-07-14 21:59:59.090492
81.19,None,None,None,None,2025-07-14 22:00:00.229419
80.97,-3,0,8,-1,2025-07-14 22:00:01.308663
81.08,-3,0,8,-1,2025-07-14 22:00:02.506897
81.08,5,0,1,2,2025-07-14 22:00:03.644579
81.19,5,0,1,2,2025-07-14 22:00:04.777588
81.08,-2,-1,-8,-1,2025-07-14 22:00:05.982522
81.08,None,None,None,None,2025-07-14 22:00:07.134300
81.08,-1,0,2,0,2025-07-14 22:00:08.278829
81.08,-1,0,2,0,2025-07-14 22:00:09.466588
81.08,-1,0,2,0,2025-07-14 22:00:10.578708
81.08,-13,-3,-3,-1,2025-07-14 22:00:11.623876
81.08,-5,0,-2,1,2025-07-14 22:00:12.714710
81.08,None,None,None,None,2025-07-14 22:00:13.847779
80.97,-3,0,4,1,2025-07-14 22:00:14.960756
81.3,3,1,-2,2,2025-07-14 22:00:16.154541
80.86,None,None,None,None,2025-07-14 22:00:17.195360
81.08,-5,0,10,0,2025-07-14 22:00:18.263335
81.3,1,-1,5,1,2025-07-14 22:00:19.407844
80.97,None,None,None,None,2025-07-14 22:00:20.466638
81.08,None,None,None,None,2025-07-14 22:00:21.504977
81.19,None,None,None,None,2025-07-14 22:00:22.571484
80.97,1,0,-2,1,2025-07-14 22:00:23.672943
81.08,1,0,-2,1,2025-07-14 22:00:24.785477
81.19,None,None,None,None,2025-07-14 22:00:25.854531
80.97,None,None,None,None,2025-07-14 22:00:26.887799
81.08,None,None,None,None,2025-07-14 22:00:27.929116
81.08,None,None,None,None,2025-07-14 22:00:29.024908
81.19,-3,-2,-1,-2,2025-07-14 22:00:30.126309
81.08,None,None,None,None,2025-07-14 22:00:31.166394
81.08,None,None,None,None,2025-07-14 22:00:32.253449
81.08,None,None,None,None,2025-07-14 22:00:33.294267
81.08,None,None,None,None,2025-07-14 22:00:34.343885
81.08,None,None,None,None,2025-07-14 22:00:35.418794
81.08,None,None,None,None,2025-07-14 22:00:36.475362
81.08,None,None,None,None,2025-07-14 22:00:37.521318
81.08,None,None,None,None,2025-07-14 22:00:38.595733
81.19,1,0,-2,1,2025-07-14 22:00:39.628958
81.08,None,None,None,None,2025-07-14 22:00:40.673036
81.08,None,None,None,None,2025-07-14 22:00:41.751234
81.08,None,None,None,None,2025-07-14 22:00:42.850264
81.08,-2,-2,-3,1,2025-07-14 22:00:43.893992
81.08,1,0,1,0,2025-07-14 22:00:44.974649
80.97,0,0,2,0,2025-07-14 22:00:46.017006
81.19,0,0,2,0,2025-07-14 22:00:47.053740
81.08,-2,-2,1,-1,2025-07-14 22:00:48.133997
80.97,None,None,None,None,2025-07-14 22:00:49.212923
81.3,None,None,None,None,2025-07-14 22:00:50.321531
81.08,None,None,None,None,2025-07-14 22:00:51.472452
80.97,None,None,None,None,2025-07-14 22:00:52.607147
81.19,1,0,-1,0,2025-07-14 22:00:53.642678
81.08,-3,0,-4,0,2025-07-14 22:00:54.790789
80.97,None,None,None,None,2025-07-14 22:00:55.830586
81.08,-2,1,10,-1,2025-07-14 22:00:56.871046
81.08,None,None,None,None,2025-07-14 22:00:57.943610
81.08,None,None,None,None,2025-07-14 22:00:58.984100
81.08,None,None,None,None,2025-07-14 22:01:00.032362
81.19,-3,-1,4,0,2025-07-14 22:01:01.104096
80.97,-3,1,-3,0,2025-07-14 22:01:02.146020
81.08,-10,0,-5,1,2025-07-14 22:01:03.217226
0,0,1,-3,1,2025-07-14 22:01:04.337878
40.57,None,None,None,None,2025-07-14 22:01:05.389145
81.19,None,None,None,None,2025-07-14 22:01:06.437050
0,None,None,None,None,2025-07-14 22:01:07.521857
40.51,None,None,None,None,2025-07-14 22:01:08.558605
81.3,None,None,None,None,2025-07-14 22:01:09.597098
0,None,None,None,None,2025-07-14 22:01:10.682820
0,-1,0,2,2,2025-07-14 22:01:11.755900
0,None,None,None,None,2025-07-14 22:01:12.840068
0,None,None,None,None,2025-07-14 22:01:13.972398
0,None,None,None,None,2025-07-14 22:01:15.046946
0,None,None,None,None,2025-07-14 22:01:16.254885
0,1,0,1,0,2025-07-14 22:01:17.472904
0,None,None,None,None,2025-07-14 22:01:18.578264
