心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
82.99,None,None,None,None,2025-07-06 13:42:48.703378
82.99,-1,1,11,-2,2025-07-06 13:42:49.933279
82.99,2,1,1,1,2025-07-06 13:42:51.054460
82.99,2,2,-1,1,2025-07-06 13:42:52.047903
82.99,2,2,6,0,2025-07-06 13:42:53.132372
82.99,-1,-1,0,1,2025-07-06 13:42:54.122122
82.99,-2,-1,0,-2,2025-07-06 13:42:55.080395
82.99,1,2,0,-3,2025-07-06 13:42:56.032760
82.99,1,2,0,-3,2025-07-06 13:42:57.025401
82.99,1,2,0,-3,2025-07-06 13:42:57.980045
82.99,1,2,0,-3,2025-07-06 13:42:58.936332
82.99,1,2,0,-3,2025-07-06 13:42:59.924306
82.99,1,2,0,-3,2025-07-06 13:43:00.907289
82.99,1,2,0,-3,2025-07-06 13:43:01.860338
82.99,1,2,0,-3,2025-07-06 13:43:02.811041
82.99,1,2,0,-3,2025-07-06 13:43:03.792738
82.99,1,2,0,-3,2025-07-06 13:43:04.744132
82.99,1,2,0,-3,2025-07-06 13:43:05.699552
82.99,1,2,0,-3,2025-07-06 13:43:06.690351
82.99,1,2,0,-3,2025-07-06 13:43:07.727876
82.99,1,2,0,-3,2025-07-06 13:43:08.684149
82.99,1,2,0,-3,2025-07-06 13:43:09.670713
82.99,1,2,0,-3,2025-07-06 13:43:10.621101
82.99,1,2,0,-3,2025-07-06 13:43:11.573883
82.99,1,2,0,-3,2025-07-06 13:43:12.516608
82.99,1,2,0,-3,2025-07-06 13:43:13.527999
82.99,1,2,0,-3,2025-07-06 13:43:14.474198
82.99,1,2,0,-3,2025-07-06 13:43:15.427718
82.99,1,2,0,-3,2025-07-06 13:43:16.417684
82.99,1,2,0,-3,2025-07-06 13:43:17.371989
82.99,1,2,0,-3,2025-07-06 13:43:18.324647
82.99,None,None,None,None,2025-07-06 13:43:19.323177
82.99,None,None,None,None,2025-07-06 13:43:20.372050
82.99,None,None,None,None,2025-07-06 13:43:21.370354
82.99,None,None,None,None,2025-07-06 13:43:22.339154
82.99,None,None,None,None,2025-07-06 13:43:23.315903
82.99,None,None,None,None,2025-07-06 13:43:24.322746
82.99,None,None,None,None,2025-07-06 13:43:25.283180
82.99,None,None,None,None,2025-07-06 13:43:26.279317
82.99,None,None,None,None,2025-07-06 13:43:27.282667
82.99,None,None,None,None,2025-07-06 13:43:28.354714
82.99,None,None,None,None,2025-07-06 13:43:29.311515
82.99,None,None,None,None,2025-07-06 13:43:30.274263
82.99,None,None,None,None,2025-07-06 13:43:31.248066
82.99,None,None,None,None,2025-07-06 13:43:32.222494
82.99,None,None,None,None,2025-07-06 13:43:33.238084
82.99,None,None,None,None,2025-07-06 13:43:34.320440
82.99,None,None,None,None,2025-07-06 13:43:35.365913
82.99,None,None,None,None,2025-07-06 13:43:36.388550
82.99,None,None,None,None,2025-07-06 13:43:37.455329
