心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-21 10:26:13.235962
0,None,None,None,None,2025-07-21 10:26:14.096992
0,None,None,None,None,2025-07-21 10:26:14.954117
76.34,None,None,None,None,2025-07-21 10:26:15.856558
80.97,None,None,None,None,2025-07-21 10:26:16.747581
80.86,None,None,None,None,2025-07-21 10:26:17.609733
80.97,None,None,None,None,2025-07-21 10:26:18.503521
80.86,None,None,None,None,2025-07-21 10:26:19.394404
80.86,None,None,None,None,2025-07-21 10:26:20.247665
80.97,-1,-1,1,-1,2025-07-21 10:26:21.147968
80.75,1,-1,1,-1,2025-07-21 10:26:22.009598
80.97,None,None,None,None,2025-07-21 10:26:22.869273
80.97,4,1,-2,1,2025-07-21 10:26:23.728294
80.86,None,None,None,None,2025-07-21 10:26:24.585302
80.86,None,None,None,None,2025-07-21 10:26:25.436996
80.86,None,None,None,None,2025-07-21 10:26:26.292268
80.86,None,None,None,None,2025-07-21 10:26:27.161552
80.97,-3,2,0,0,2025-07-21 10:26:28.054489
80.86,None,None,None,None,2025-07-21 10:26:28.947679
80.97,None,None,None,None,2025-07-21 10:26:29.844169
80.86,None,None,None,None,2025-07-21 10:26:30.733317
80.97,None,None,None,None,2025-07-21 10:26:31.631155
83.1,None,None,None,None,2025-07-21 10:26:32.489580
83.1,None,None,None,None,2025-07-21 10:26:33.349139
83.1,None,None,None,None,2025-07-21 10:26:34.209395
83.33,None,None,None,None,2025-07-21 10:26:35.068694
83.1,None,None,None,None,2025-07-21 10:26:35.930058
83.1,None,None,None,None,2025-07-21 10:26:36.785347
83.22,None,None,None,None,2025-07-21 10:26:37.644455
83.1,None,None,None,None,2025-07-21 10:26:38.500673
83.1,None,None,None,None,2025-07-21 10:26:39.365892
83.1,None,None,None,None,2025-07-21 10:26:40.254231
83.22,None,None,None,None,2025-07-21 10:26:41.117517
83.1,None,None,None,None,2025-07-21 10:26:42.007987
83.1,None,None,None,None,2025-07-21 10:26:42.869115
83.1,None,None,None,None,2025-07-21 10:26:43.763968
83.22,None,None,None,None,2025-07-21 10:26:44.619524
83.22,-1,0,-10,-1,2025-07-21 10:26:45.469432
83.1,None,None,None,None,2025-07-21 10:26:46.337326
80.75,None,None,None,None,2025-07-21 10:26:47.196729
80.97,None,None,None,None,2025-07-21 10:26:48.086897
80.97,None,None,None,None,2025-07-21 10:26:48.981971
80.75,None,None,None,None,2025-07-21 10:26:49.841864
80.97,None,None,None,None,2025-07-21 10:26:50.734281
80.86,None,None,None,None,2025-07-21 10:26:51.625157
83.1,None,None,None,None,2025-07-21 10:26:52.517724
83.33,None,None,None,None,2025-07-21 10:26:53.381431
83.1,None,None,None,None,2025-07-21 10:26:54.272823
83.1,None,None,None,None,2025-07-21 10:26:55.164861
83.1,None,None,None,None,2025-07-21 10:26:56.021701
83.22,None,None,None,None,2025-07-21 10:26:56.916607
83.1,None,None,None,None,2025-07-21 10:26:57.774447
82.99,None,None,None,None,2025-07-21 10:26:58.633163
80.97,None,None,None,None,2025-07-21 10:26:59.528358
80.75,None,None,None,None,2025-07-21 10:27:00.385441
