心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
None,None,None,None,None,2025-07-11 22:29:28.304501
76.53,None,None,None,None,2025-07-11 22:29:29.190081
81.19,None,None,None,None,2025-07-11 22:29:30.072005
81.08,None,None,None,None,2025-07-11 22:29:30.951681
81.19,None,None,None,None,2025-07-11 22:29:31.831674
81.08,None,None,None,None,2025-07-11 22:29:32.675358
80.97,None,None,None,None,2025-07-11 22:29:33.558364
81.08,None,None,None,None,2025-07-11 22:29:34.469116
81.19,None,None,None,None,2025-07-11 22:29:35.349698
81.08,0,0,2,0,2025-07-11 22:29:36.228032
81.08,0,0,2,0,2025-07-11 22:29:37.135611
81.08,0,0,2,0,2025-07-11 22:29:37.984929
81.08,0,0,2,0,2025-07-11 22:29:38.866185
81.08,0,0,2,0,2025-07-11 22:29:39.744056
81.08,0,0,2,0,2025-07-11 22:29:40.663716
81.08,0,0,2,0,2025-07-11 22:29:41.553377
81.08,0,0,2,0,2025-07-11 22:29:42.433255
81.08,0,0,2,0,2025-07-11 22:29:43.313847
81.08,0,0,2,0,2025-07-11 22:29:44.230676
81.08,0,0,2,0,2025-07-11 22:29:45.110785
81.08,0,0,2,0,2025-07-11 22:29:45.994516
81.08,0,0,2,0,2025-07-11 22:29:46.871069
81.08,0,0,2,0,2025-07-11 22:29:47.753271
81.08,0,0,2,0,2025-07-11 22:29:48.634550
81.08,0,0,2,0,2025-07-11 22:29:49.514333
81.08,0,0,2,0,2025-07-11 22:29:50.393681
81.08,0,0,2,0,2025-07-11 22:29:51.274582
81.08,0,0,2,0,2025-07-11 22:29:52.158119
81.08,0,0,2,0,2025-07-11 22:29:53.042889
81.19,0,0,2,0,2025-07-11 22:29:53.921345
81.19,0,0,2,0,2025-07-11 22:29:54.801677
81.19,0,0,2,0,2025-07-11 22:29:55.685318
81.19,1,0,0,1,2025-07-11 22:29:56.576349
81.19,1,0,0,1,2025-07-11 22:29:57.457894
81.19,1,0,0,1,2025-07-11 22:29:58.338109
81.19,1,0,0,1,2025-07-11 22:29:59.222155
81.19,None,None,None,None,2025-07-11 22:30:00.100245
81.19,None,None,None,None,2025-07-11 22:30:00.978046
81.19,None,None,None,None,2025-07-11 22:30:01.860615
81.08,None,None,None,None,2025-07-11 22:30:02.751125
81.08,None,None,None,None,2025-07-11 22:30:03.629207
81.08,None,None,None,None,2025-07-11 22:30:04.505785
81.08,None,None,None,None,2025-07-11 22:30:05.386004
81.08,None,None,None,None,2025-07-11 22:30:06.272006
81.08,None,None,None,None,2025-07-11 22:30:07.154637
81.08,None,None,None,None,2025-07-11 22:30:08.033568
81.08,None,None,None,None,2025-07-11 22:30:08.914251
81.08,None,None,None,None,2025-07-11 22:30:09.794290
81.08,None,None,None,None,2025-07-11 22:30:10.678220
81.08,None,None,None,None,2025-07-11 22:30:11.558267
81.08,None,None,None,None,2025-07-11 22:30:12.437818
81.08,1,0,4,-2,2025-07-11 22:30:13.316880
81.08,1,0,4,-2,2025-07-11 22:30:14.198537
81.08,None,None,None,None,2025-07-11 22:30:15.078147
81.08,None,None,None,None,2025-07-11 22:30:15.956701
81.08,0,0,2,-1,2025-07-11 22:30:16.853408
81.08,2,-1,1,0,2025-07-11 22:30:17.740498
81.08,1,0,0,0,2025-07-11 22:30:18.620062
81.08,1,-1,2,0,2025-07-11 22:30:19.500035
81.08,None,None,None,None,2025-07-11 22:30:20.382798
81.08,None,None,None,None,2025-07-11 22:30:21.277873
81.08,1,0,3,-2,2025-07-11 22:30:22.157398
81.08,None,None,None,None,2025-07-11 22:30:23.037292
81.08,0,0,-4,-1,2025-07-11 22:30:23.920443
81.08,0,0,-4,-1,2025-07-11 22:30:24.802166
81.08,None,None,None,None,2025-07-11 22:30:25.683389
81.08,None,None,None,None,2025-07-11 22:30:26.567468
81.08,None,None,None,None,2025-07-11 22:30:27.447409
81.08,None,None,None,None,2025-07-11 22:30:28.327753
80.97,None,None,None,None,2025-07-11 22:30:29.206497
80.97,None,None,None,None,2025-07-11 22:30:30.091341
80.97,None,None,None,None,2025-07-11 22:30:30.940681
80.97,2,0,-2,-1,2025-07-11 22:30:31.821576
80.97,0,0,0,0,2025-07-11 22:30:32.701254
80.97,3,-1,1,0,2025-07-11 22:30:33.585223
80.97,0,0,2,0,2025-07-11 22:30:34.466395
80.97,1,-1,3,0,2025-07-11 22:30:35.345661
80.97,1,-1,3,0,2025-07-11 22:30:36.262635
80.97,0,0,3,0,2025-07-11 22:30:37.145328
81.19,0,0,3,0,2025-07-11 22:30:37.993696
81.19,0,0,3,0,2025-07-11 22:30:38.882352
81.19,0,0,3,0,2025-07-11 22:30:39.729575
81.19,0,0,3,0,2025-07-11 22:30:40.610274
81.19,0,0,3,0,2025-07-11 22:30:41.491378
81.19,0,0,3,0,2025-07-11 22:30:42.371654
81.19,0,0,3,0,2025-07-11 22:30:43.251246
81.19,0,0,3,0,2025-07-11 22:30:44.129677
81.19,0,0,3,0,2025-07-11 22:30:45.011528
81.19,0,0,3,0,2025-07-11 22:30:45.856896
81.08,0,0,3,0,2025-07-11 22:30:46.735235
81.08,0,0,3,0,2025-07-11 22:30:47.614863
81.08,None,None,None,None,2025-07-11 22:30:48.499692
81.08,1,0,-2,-1,2025-07-11 22:30:49.377734
81.08,0,0,1,-1,2025-07-11 22:30:50.257583
81.08,None,None,None,None,2025-07-11 22:30:51.143695
81.08,1,0,2,0,2025-07-11 22:30:52.025924
81.08,2,0,0,0,2025-07-11 22:30:52.909737
81.08,None,None,None,None,2025-07-11 22:30:53.790913
81.08,None,None,None,None,2025-07-11 22:30:54.682238
81.08,None,None,None,None,2025-07-11 22:30:55.563741
81.08,2,0,-2,1,2025-07-11 22:30:56.441418
81.08,2,0,-2,1,2025-07-11 22:30:57.333848
81.08,1,-1,-4,-1,2025-07-11 22:30:58.209955
81.08,None,None,None,None,2025-07-11 22:30:59.099468
81.08,3,0,4,-1,2025-07-11 22:30:59.986259
81.08,3,0,4,-1,2025-07-11 22:31:00.875045
81.08,3,0,4,-1,2025-07-11 22:31:01.762888
81.08,3,0,4,-1,2025-07-11 22:31:02.648313
81.08,3,0,4,-1,2025-07-11 22:31:03.501167
