心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-12 14:55:48.114437

76.63,None,None,None,None,2025-07-12 14:55:49.226432

81.08,None,None,None,None,2025-07-12 14:55:50.280815

80.97,None,None,None,None,2025-07-12 14:55:51.389174

81.08,9,1,-7,0,2025-07-12 14:55:52.472358

81.3,-1,0,1,0,2025-07-12 14:55:53.520183

80.97,0,0,-1,0,2025-07-12 14:55:54.571375

81.08,1,0,-5,-1,2025-07-12 14:55:55.621677

81.08,1,0,-5,-1,2025-07-12 14:55:56.709475

81.08,5,0,-2,0,2025-07-12 14:55:57.754961

81.08,0,0,-1,0,2025-07-12 14:55:58.803044

81.08,None,None,None,None,2025-07-12 14:55:59.849568

81.08,None,None,None,None,2025-07-12 14:56:00.944453

81.08,6,1,-7,0,2025-07-12 14:56:02.058682

81.08,6,1,-7,0,2025-07-12 14:56:03.113651

80.97,6,1,-7,0,2025-07-12 14:56:04.162071

81.3,None,None,None,None,2025-07-12 14:56:05.245749

81.08,1,2,3,0,2025-07-12 14:56:06.299460

80.97,None,None,None,None,2025-07-12 14:56:07.358765

81.19,None,None,None,None,2025-07-12 14:56:08.412624

81.08,0,0,4,0,2025-07-12 14:56:09.514913

80.97,None,None,None,None,2025-07-12 14:56:10.636617

81.08,None,None,None,None,2025-07-12 14:56:11.682268

81.19,None,None,None,None,2025-07-12 14:56:12.733014

80.97,None,None,None,None,2025-07-12 14:56:13.808765

81.08,0,0,-1,0,2025-07-12 14:56:14.857065

81.3,-1,0,-3,0,2025-07-12 14:56:15.911966

80.97,None,None,None,None,2025-07-12 14:56:17.003160

81.08,None,None,None,None,2025-07-12 14:56:18.127227

81.19,11,0,-7,0,2025-07-12 14:56:19.171275

80.97,None,None,None,None,2025-07-12 14:56:20.225448

81.08,7,-1,5,0,2025-07-12 14:56:21.271199

80.97,None,None,None,None,2025-07-12 14:56:22.326187

81.19,3,0,5,-1,2025-07-12 14:56:23.380233

81.08,None,None,None,None,2025-07-12 14:56:24.557432

80.97,None,None,None,None,2025-07-12 14:56:25.686575

81.3,1,0,-1,0,2025-07-12 14:56:26.745564

80.97,1,-1,-1,0,2025-07-12 14:56:27.897252

80.97,2,0,-3,0,2025-07-12 14:56:28.956767

81.3,2,0,-3,0,2025-07-12 14:56:30.008714

81.08,8,1,2,0,2025-07-12 14:56:31.150604

80.97,None,None,None,None,2025-07-12 14:56:32.203321

81.19,None,None,None,None,2025-07-12 14:56:33.255815

81.08,None,None,None,None,2025-07-12 14:56:34.353787

80.97,None,None,None,None,2025-07-12 14:56:35.403764

81.08,0,0,2,0,2025-07-12 14:56:36.460872

81.19,None,None,None,None,2025-07-12 14:56:37.517739

80.97,None,None,None,None,2025-07-12 14:56:38.566725

81.08,None,None,None,None,2025-07-12 14:56:39.627387

81.3,2,1,-7,1,2025-07-12 14:56:40.701122

80.97,1,0,-7,0,2025-07-12 14:56:41.755956

81.08,0,0,2,0,2025-07-12 14:56:42.804730

81.19,0,0,2,0,2025-07-12 14:56:43.858969

80.97,0,0,2,0,2025-07-12 14:56:44.906334

81.08,None,None,None,None,2025-07-12 14:56:45.946999

81.19,None,None,None,None,2025-07-12 14:56:46.985112

80.97,None,None,None,None,2025-07-12 14:56:48.038059

81.08,0,0,1,0,2025-07-12 14:56:49.099269

81.3,5,-1,0,0,2025-07-12 14:56:50.179748

80.97,None,None,None,None,2025-07-12 14:56:51.228265

81.08,0,-1,8,1,2025-07-12 14:56:52.324511

81.08,None,None,None,None,2025-07-12 14:56:53.444558

81.08,None,None,None,None,2025-07-12 14:56:54.534333

81.08,None,None,None,None,2025-07-12 14:56:55.587384

81.08,None,None,None,None,2025-07-12 14:56:56.638334

81.08,None,None,None,None,2025-07-12 14:56:57.735308

81.08,None,None,None,None,2025-07-12 14:56:58.848480

81.08,None,None,None,None,2025-07-12 14:56:59.894657

81.19,2,-1,2,0,2025-07-12 14:57:00.988359

80.97,1,-1,2,-1,2025-07-12 14:57:02.032423

81.08,None,None,None,None,2025-07-12 14:57:03.089063

81.19,-1,-1,0,0,2025-07-12 14:57:04.224401

80.97,1,0,7,2,2025-07-12 14:57:05.272426

81.08,None,None,None,None,2025-07-12 14:57:06.324370

81.19,3,0,2,0,2025-07-12 14:57:07.424453

81.19,None,None,None,None,2025-07-12 14:57:08.476964

0,0,0,6,-1,2025-07-12 14:57:09.541206

40.54,None,None,None,None,2025-07-12 14:57:10.626570

81.08,None,None,None,None,2025-07-12 14:57:11.683424

80.97,None,None,None,None,2025-07-12 14:57:12.737978

81.19,None,None,None,None,2025-07-12 14:57:13.786392

81.08,None,None,None,None,2025-07-12 14:57:14.868522

0,None,None,None,None,2025-07-12 14:57:15.976179

40.51,4,0,7,-1,2025-07-12 14:57:17.029450

0,4,-1,3,0,2025-07-12 14:57:18.088857

40.54,3,0,-2,0,2025-07-12 14:57:19.173145

81.19,3,0,-2,0,2025-07-12 14:57:20.223480

0,3,0,-2,0,2025-07-12 14:57:21.276754

0,3,0,-2,0,2025-07-12 14:57:22.361057

0,3,0,-2,0,2025-07-12 14:57:23.471525

0,None,None,None,None,2025-07-12 14:57:24.523631

0,None,None,None,None,2025-07-12 14:57:25.581074

0,0,0,-2,-1,2025-07-12 14:57:26.634261

0,None,None,None,None,2025-07-12 14:57:27.712992

0,None,None,None,None,2025-07-12 14:57:28.767870

0,None,None,None,None,2025-07-12 14:57:29.822868

0,None,None,None,None,2025-07-12 14:57:30.914524

0,None,None,None,None,2025-07-12 14:57:31.963707

0,None,None,None,None,2025-07-12 14:57:33.015519

0,None,None,None,None,2025-07-12 14:57:34.064537

