心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-19 16:10:53.096327
0,11,0,1,-1,2025-07-19 16:10:54.096348
0,4,-1,-5,-3,2025-07-19 16:10:55.080186
76.53,None,None,None,None,2025-07-19 16:10:56.064817
83.22,-1,-2,-10,-1,2025-07-19 16:10:57.107787
82.99,None,None,None,None,2025-07-19 16:10:58.153146
81.08,None,None,None,None,2025-07-19 16:10:59.136117
83.1,None,None,None,None,2025-07-19 16:11:00.127690
83.1,0,2,-2,-4,2025-07-19 16:11:01.155564
81.08,2,1,-6,-1,2025-07-19 16:11:02.178799
83.1,None,None,None,None,2025-07-19 16:11:03.224187
83.22,6,-1,1,-1,2025-07-19 16:11:04.204351
83.1,1,0,2,-1,2025-07-19 16:11:05.366665
82.99,0,1,10,-2,2025-07-19 16:11:06.414072
81.08,2,0,-6,1,2025-07-19 16:11:07.400784
83.22,-1,-2,-2,2,2025-07-19 16:11:08.382020
83.1,None,None,None,None,2025-07-19 16:11:09.471963
83.1,5,-2,-2,1,2025-07-19 16:11:10.452880
81.08,None,None,None,None,2025-07-19 16:11:11.443064
80.75,None,None,None,None,2025-07-19 16:11:12.429687
80.97,1,1,-4,1,2025-07-19 16:11:13.481559
80.86,-1,1,-4,1,2025-07-19 16:11:14.525469
80.86,None,None,None,None,2025-07-19 16:11:15.504517
80.97,None,None,None,None,2025-07-19 16:11:16.490026
80.97,-1,-2,0,-3,2025-07-19 16:11:17.604533
83.22,None,None,None,None,2025-07-19 16:11:18.604134
83.22,-3,2,-10,0,2025-07-19 16:11:19.616390
82.99,-3,0,-5,2,2025-07-19 16:11:20.657901
80.97,None,None,None,None,2025-07-19 16:11:21.736680
83.22,-12,-1,-9,1,2025-07-19 16:11:22.720180
83.1,-5,-1,-1,0,2025-07-19 16:11:23.701811
83.1,None,None,None,None,2025-07-19 16:11:24.754354
81.08,None,None,None,None,2025-07-19 16:11:25.733017
83.1,4,-1,-7,0,2025-07-19 16:11:26.709574
83.22,1,1,-5,1,2025-07-19 16:11:27.697714
82.99,None,None,None,None,2025-07-19 16:11:28.752144
81.08,None,None,None,None,2025-07-19 16:11:29.840450
80.86,None,None,None,None,2025-07-19 16:11:30.886157
80.86,None,None,None,None,2025-07-19 16:11:31.872575
80.97,None,None,None,None,2025-07-19 16:11:32.937389
80.86,None,None,None,None,2025-07-19 16:11:33.920498
83.33,None,None,None,None,2025-07-19 16:11:34.934279
80.75,None,None,None,None,2025-07-19 16:11:35.976546
80.97,None,None,None,None,2025-07-19 16:11:37.081992
80.97,None,None,None,None,2025-07-19 16:11:38.065570
73.08,None,None,None,None,2025-07-19 16:11:39.081050
83.1,None,None,None,None,2025-07-19 16:11:40.184728
80.86,None,None,None,None,2025-07-19 16:11:41.168758
80.97,None,None,None,None,2025-07-19 16:11:42.115872
80.97,None,None,None,None,2025-07-19 16:11:43.096693
83.1,None,None,None,None,2025-07-19 16:11:44.137720
80.97,-10,-1,-10,0,2025-07-19 16:11:45.170147
80.75,-2,0,-1,1,2025-07-19 16:11:46.149979
81.08,-1,-1,0,-1,2025-07-19 16:11:47.134954
80.86,None,None,None,None,2025-07-19 16:11:48.168594
80.97,None,None,None,None,2025-07-19 16:11:49.175031
80.86,-4,0,-4,-3,2025-07-19 16:11:50.128818
80.97,None,None,None,None,2025-07-19 16:11:51.108647
80.97,None,None,None,None,2025-07-19 16:11:52.108741
80.86,-8,-1,0,-1,2025-07-19 16:11:53.055980
80.86,None,None,None,None,2025-07-19 16:11:54.003983
80.97,None,None,None,None,2025-07-19 16:11:54.987917
80.97,None,None,None,None,2025-07-19 16:11:56.009450
80.86,-11,-3,6,0,2025-07-19 16:11:57.064298
0,3,1,-2,-2,2025-07-19 16:11:58.054202
0,None,None,None,None,2025-07-19 16:11:59.012594
0,6,0,-3,1,2025-07-19 16:12:00.053785
0,-1,2,-2,1,2025-07-19 16:12:01.072872
0,0,1,6,-3,2025-07-19 16:12:02.053937
0,0,1,-5,1,2025-07-19 16:12:03.042712
0,-3,-2,0,1,2025-07-19 16:12:04.117737
0,1,0,0,-3,2025-07-19 16:12:05.113685
0,-1,-3,-9,0,2025-07-19 16:12:06.132970
0,-4,0,-6,-1,2025-07-19 16:12:07.217694
0,6,-2,3,2,2025-07-19 16:12:08.331178
0,None,None,None,None,2025-07-19 16:12:09.319150
0,3,1,-14,0,2025-07-19 16:12:10.311077
0,None,None,None,None,2025-07-19 16:12:11.298658
0,2,1,-14,0,2025-07-19 16:12:12.345326
0,None,None,None,None,2025-07-19 16:12:13.393999
0,3,1,-14,0,2025-07-19 16:12:14.382652
0,0,1,1,-1,2025-07-19 16:12:15.393497
0,9,0,0,-2,2025-07-19 16:12:16.434025
0,None,None,None,None,2025-07-19 16:12:17.388382
0,13,0,-3,1,2025-07-19 16:12:18.375429
0,None,None,None,None,2025-07-19 16:12:19.441339
0,8,-1,-1,-3,2025-07-19 16:12:20.530595
0,None,None,None,None,2025-07-19 16:12:21.774070
0,None,None,None,None,2025-07-19 16:12:22.839983
0,-4,2,0,-1,2025-07-19 16:12:23.816674
