心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
None,None,None,None,None,2025-07-11 22:31:50.415351
76.53,None,None,None,None,2025-07-11 22:31:51.280728
81.19,0,0,2,0,2025-07-11 22:31:52.149212
83.22,None,None,None,None,2025-07-11 22:31:53.015393
None,1,-1,-8,-1,2025-07-11 22:31:55.025930
None,3,0,3,-1,2025-07-11 22:31:57.034894
None,0,0,1,0,2025-07-11 22:31:59.044542
None,1,0,-2,-2,2025-07-11 22:32:01.048774
None,None,None,None,None,2025-07-11 22:32:03.057378
None,None,None,None,None,2025-07-11 22:32:05.063221
None,None,None,None,None,2025-07-11 22:32:07.070655
None,1,0,1,-2,2025-07-11 22:32:09.084425
None,None,None,None,None,2025-07-11 22:32:11.091929
None,2,0,-1,0,2025-07-11 22:32:13.093264
