心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
83.22,None,None,None,None,2025-07-06 13:33:44.219048
83.22,None,None,None,None,2025-07-06 13:33:45.956166
83.22,None,None,None,None,2025-07-06 13:33:47.713185
83.22,3,0,-4,-2,2025-07-06 13:33:49.449224
83.22,None,None,None,None,2025-07-06 13:33:51.185495
83.22,1,0,-2,-1,2025-07-06 13:33:52.918383
83.22,3,0,-1,0,2025-07-06 13:33:54.655485
83.22,None,None,None,None,2025-07-06 13:33:56.690514
83.22,None,None,None,None,2025-07-06 13:33:58.427089
