心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
None,None,None,None,None,2025-07-11 23:55:42.771863
76.63,None,None,None,None,2025-07-11 23:55:43.643848
81.08,1,0,1,-1,2025-07-11 23:55:44.526384
80.97,None,None,None,None,2025-07-11 23:55:45.414479
81.3,None,None,None,None,2025-07-11 23:55:46.287215
81.08,None,None,None,None,2025-07-11 23:55:47.171566
80.97,2,0,0,-1,2025-07-11 23:55:48.040670
81.19,None,None,None,None,2025-07-11 23:55:48.933737
81.08,None,None,None,None,2025-07-11 23:55:49.819476
80.97,0,0,-1,-1,2025-07-11 23:55:50.705407
81.19,2,0,2,-2,2025-07-11 23:55:51.572355
81.08,1,0,1,0,2025-07-11 23:55:52.446197
80.97,1,0,1,0,2025-07-11 23:55:53.324741
81.3,None,None,None,None,2025-07-11 23:55:54.209785
81.08,None,None,None,None,2025-07-11 23:55:55.081335
80.97,None,None,None,None,2025-07-11 23:55:55.951995
81.19,None,None,None,None,2025-07-11 23:55:56.834430
81.08,None,None,None,None,2025-07-11 23:55:57.707265
80.97,None,None,None,None,2025-07-11 23:55:58.574258
81.19,None,None,None,None,2025-07-11 23:55:59.447623
81.08,None,None,None,None,2025-07-11 23:56:00.324737
80.97,None,None,None,None,2025-07-11 23:56:01.195484
81.3,None,None,None,None,2025-07-11 23:56:02.066800
80.97,None,None,None,None,2025-07-11 23:56:02.947037
80.97,None,None,None,None,2025-07-11 23:56:03.830195
81.3,None,None,None,None,2025-07-11 23:56:04.668504
81.08,0,0,1,0,2025-07-11 23:56:05.539535
80.97,None,None,None,None,2025-07-11 23:56:06.376193
81.19,1,0,1,-1,2025-07-11 23:56:07.262494
81.08,1,-1,-1,-2,2025-07-11 23:56:08.133702
80.97,0,0,3,-1,2025-07-11 23:56:09.002646
81.19,0,0,0,0,2025-07-11 23:56:09.875668
81.08,None,None,None,None,2025-07-11 23:56:10.759575
80.97,None,None,None,None,2025-07-11 23:56:11.607595
81.3,None,None,None,None,2025-07-11 23:56:12.478698
81.08,None,None,None,None,2025-07-11 23:56:13.360147
80.97,None,None,None,None,2025-07-11 23:56:14.231806
81.19,None,None,None,None,2025-07-11 23:56:15.070256
80.97,None,None,None,None,2025-07-11 23:56:15.944050
81.08,None,None,None,None,2025-07-11 23:56:16.827247
81.19,0,0,2,-2,2025-07-11 23:56:17.703277
