心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-21 11:32:14.391326
0,11,0,0,2,2025-07-21 11:32:15.247989
0,11,0,0,2,2025-07-21 11:32:16.099912
76.43,7,-2,2,1,2025-07-21 11:32:16.965605
80.86,7,-2,2,1,2025-07-21 11:32:17.826350
80.86,1,-2,-2,1,2025-07-21 11:32:18.721902
80.97,6,0,-7,0,2025-07-21 11:32:19.616777
80.86,4,-2,3,-1,2025-07-21 11:32:20.474896
80.86,0,1,6,-2,2025-07-21 11:32:21.334433
80.97,0,-2,-4,0,2025-07-21 11:32:22.195281
80.86,1,0,5,-1,2025-07-21 11:32:23.051421
80.86,1,0,-2,2,2025-07-21 11:32:23.911628
80.97,-1,0,-1,-1,2025-07-21 11:32:24.805652
80.86,0,1,-1,-1,2025-07-21 11:32:25.662389
80.86,2,2,-8,0,2025-07-21 11:32:26.518147
80.86,-8,0,-1,-2,2025-07-21 11:32:27.378663
80.97,-2,-3,-1,0,2025-07-21 11:32:28.235040
80.86,1,1,2,-3,2025-07-21 11:32:29.094297
80.86,1,1,2,-3,2025-07-21 11:32:29.951361
80.97,None,None,None,None,2025-07-21 11:32:30.807043
80.86,None,None,None,None,2025-07-21 11:32:31.667755
80.86,11,1,-10,0,2025-07-21 11:32:32.527276
80.97,None,None,None,None,2025-07-21 11:32:33.421402
80.75,None,None,None,None,2025-07-21 11:32:34.278684
80.97,3,1,-10,-1,2025-07-21 11:32:35.141778
80.97,None,None,None,None,2025-07-21 11:32:35.999034
80.75,-14,-2,3,-1,2025-07-21 11:32:36.852553
80.97,None,None,None,None,2025-07-21 11:32:37.736583
80.86,None,None,None,None,2025-07-21 11:32:38.645665
80.86,2,1,-10,0,2025-07-21 11:32:39.501926
80.97,-1,-1,-3,-2,2025-07-21 11:32:40.356224
80.86,-1,-3,-3,0,2025-07-21 11:32:41.227908
80.86,0,1,0,-3,2025-07-21 11:32:42.122099
80.97,-6,-1,3,-1,2025-07-21 11:32:42.973042
80.86,-3,-1,4,0,2025-07-21 11:32:43.873668
80.97,None,None,None,None,2025-07-21 11:32:44.767139
80.75,None,None,None,None,2025-07-21 11:32:45.624096
80.97,None,None,None,None,2025-07-21 11:32:46.483463
80.97,14,-1,-2,1,2025-07-21 11:32:47.342535
83.1,1,-3,-15,-1,2025-07-21 11:32:48.199583
82.99,None,None,None,None,2025-07-21 11:32:49.094466
80.86,None,None,None,None,2025-07-21 11:32:49.955243
80.97,None,None,None,None,2025-07-21 11:32:50.848541
80.86,None,None,None,None,2025-07-21 11:32:51.700258
80.86,None,None,None,None,2025-07-21 11:32:52.601260
80.97,-1,0,-5,1,2025-07-21 11:32:53.459023
80.97,None,None,None,None,2025-07-21 11:32:54.354392
80.75,None,None,None,None,2025-07-21 11:32:55.211660
80.97,None,None,None,None,2025-07-21 11:32:56.071858
80.86,None,None,None,None,2025-07-21 11:32:56.931583
80.86,-1,-1,4,-1,2025-07-21 11:32:57.823986
80.97,None,None,None,None,2025-07-21 11:32:58.683767
80.86,None,None,None,None,2025-07-21 11:32:59.576946
80.86,None,None,None,None,2025-07-21 11:33:00.470755
80.86,None,None,None,None,2025-07-21 11:33:01.335188
83.33,None,None,None,None,2025-07-21 11:33:02.194768
82.99,None,None,None,None,2025-07-21 11:33:03.054744
80.86,0,-2,-4,3,2025-07-21 11:33:03.915214
80.86,1,1,-2,1,2025-07-21 11:33:04.771692
80.86,None,None,None,None,2025-07-21 11:33:05.666315
80.97,None,None,None,None,2025-07-21 11:33:06.493875
80.86,-2,0,-2,0,2025-07-21 11:33:07.347581
80.86,None,None,None,None,2025-07-21 11:33:08.242664
80.97,7,-1,0,-2,2025-07-21 11:33:09.134063
80.86,-1,0,0,0,2025-07-21 11:33:09.991807
80.86,None,None,None,None,2025-07-21 11:33:10.852349
80.97,None,None,None,None,2025-07-21 11:33:11.712703
80.75,None,None,None,None,2025-07-21 11:33:12.576041
80.97,None,None,None,None,2025-07-21 11:33:13.470222
80.97,-1,0,-3,1,2025-07-21 11:33:14.326871
80.86,0,-1,-1,1,2025-07-21 11:33:15.183921
80.86,-10,-2,-9,-1,2025-07-21 11:33:16.045210
83.22,None,None,None,None,2025-07-21 11:33:16.904497
82.99,None,None,None,None,2025-07-21 11:33:17.798784
80.97,None,None,None,None,2025-07-21 11:33:18.656316
80.75,None,None,None,None,2025-07-21 11:33:19.514616
80.97,None,None,None,None,2025-07-21 11:33:20.375529
