心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-17 14:47:10.178417
0,None,None,None,None,2025-07-17 14:47:11.299279
0,-2,1,-6,0,2025-07-17 14:47:12.452261
76.53,11,0,2,1,2025-07-17 14:47:13.600227
82.99,-3,-2,0,-2,2025-07-17 14:47:14.751882
80.97,-5,-1,-6,1,2025-07-17 14:47:15.905214
80.86,2,2,-18,-1,2025-07-17 14:47:17.040927
81.08,11,-1,1,-1,2025-07-17 14:47:18.125102
82.99,10,1,0,2,2025-07-17 14:47:19.271904
81.08,4,1,-13,0,2025-07-17 14:47:20.415982
83.1,4,1,-13,0,2025-07-17 14:47:21.529576
82.99,4,1,-13,0,2025-07-17 14:47:22.626310
81.08,4,1,-13,0,2025-07-17 14:47:23.774693
82.99,4,1,-13,0,2025-07-17 14:47:24.884146
80.97,-3,-3,0,0,2025-07-17 14:47:25.966650
83.22,9,-1,-1,3,2025-07-17 14:47:27.154749
80.86,-2,-1,4,2,2025-07-17 14:47:28.296327
80.97,None,None,None,None,2025-07-17 14:47:29.442142
80.75,14,-1,-5,2,2025-07-17 14:47:30.579362
80.97,None,None,None,None,2025-07-17 14:47:31.724269
80.86,None,None,None,None,2025-07-17 14:47:32.899666
80.86,-1,1,-2,0,2025-07-17 14:47:34.054075
80.97,18,0,-2,1,2025-07-17 14:47:35.200194
80.86,-2,-1,1,-1,2025-07-17 14:47:36.349504
81.08,-1,1,-5,2,2025-07-17 14:47:37.499639
82.99,None,None,None,None,2025-07-17 14:47:38.656834
81.08,None,None,None,None,2025-07-17 14:47:39.809091
82.99,2,0,-2,1,2025-07-17 14:47:40.951432
80.97,None,None,None,None,2025-07-17 14:47:42.097075
82.99,-17,0,-17,0,2025-07-17 14:47:43.244256
81.08,None,None,None,None,2025-07-17 14:47:44.391590
83.1,-6,0,5,1,2025-07-17 14:47:45.536452
82.99,3,2,1,2,2025-07-17 14:47:46.646448
81.08,None,None,None,None,2025-07-17 14:47:47.737873
82.99,8,0,-12,0,2025-07-17 14:47:48.921465
81.08,None,None,None,None,2025-07-17 14:47:50.030048
82.99,1,-3,2,2,2025-07-17 14:47:51.078682
80.97,None,None,None,None,2025-07-17 14:47:52.142322
82.99,0,3,-11,0,2025-07-17 14:47:53.228386
80.97,None,None,None,None,2025-07-17 14:47:54.414310
81.08,-2,-3,6,2,2025-07-17 14:47:55.560557
83.1,None,None,None,None,2025-07-17 14:47:56.643500
82.99,12,1,-12,0,2025-07-17 14:47:57.792331
80.97,12,1,-12,0,2025-07-17 14:47:58.904883
83.22,None,None,None,None,2025-07-17 14:47:59.992599
83.22,None,None,None,None,2025-07-17 14:48:01.136579
83.22,3,1,-5,1,2025-07-17 14:48:02.243176
82.99,0,0,-2,1,2025-07-17 14:48:03.362581
80.86,16,0,2,3,2025-07-17 14:48:04.485296
80.97,None,None,None,None,2025-07-17 14:48:05.541194
80.86,0,2,-4,1,2025-07-17 14:48:06.583081
80.97,None,None,None,None,2025-07-17 14:48:07.632787
83.1,14,0,0,0,2025-07-17 14:48:08.707421
83.1,1,1,-2,0,2025-07-17 14:48:09.842677
83.22,9,1,-1,3,2025-07-17 14:48:10.890288
83.22,9,0,8,1,2025-07-17 14:48:11.943726
83.1,4,0,1,2,2025-07-17 14:48:12.994088
83.22,None,None,None,None,2025-07-17 14:48:14.049052
82.99,None,None,None,None,2025-07-17 14:48:15.109591
80.97,3,1,0,2,2025-07-17 14:48:16.156769
83.1,None,None,None,None,2025-07-17 14:48:17.203213
83.22,None,None,None,None,2025-07-17 14:48:18.252254
83.22,None,None,None,None,2025-07-17 14:48:19.330608
83.1,None,None,None,None,2025-07-17 14:48:20.455204
83.1,None,None,None,None,2025-07-17 14:48:21.500723
83.22,10,-1,5,2,2025-07-17 14:48:22.547516
0,5,-1,4,0,2025-07-17 14:48:23.603599
0,4,0,1,3,2025-07-17 14:48:24.654486
0,2,0,-2,-2,2025-07-17 14:48:25.727865
0,None,None,None,None,2025-07-17 14:48:26.816051
0,None,None,None,None,2025-07-17 14:48:27.925753
0,None,None,None,None,2025-07-17 14:48:28.967689
0,None,None,None,None,2025-07-17 14:48:30.053654
0,-8,-2,-3,2,2025-07-17 14:48:31.191879
0,-1,-1,-9,1,2025-07-17 14:48:32.244317
0,-9,1,-15,0,2025-07-17 14:48:33.291577
0,-5,0,-6,-1,2025-07-17 14:48:34.342408
0,-11,0,-1,-2,2025-07-17 14:48:35.396450
0,1,0,0,3,2025-07-17 14:48:36.568583
0,None,None,None,None,2025-07-17 14:48:37.628908
0,11,1,0,3,2025-07-17 14:48:38.705093
0,13,-1,1,4,2025-07-17 14:48:39.784771
0,0,0,11,0,2025-07-17 14:48:40.892932
0,8,-1,13,0,2025-07-17 14:48:41.993871
0,None,None,None,None,2025-07-17 14:48:43.110443
0,None,None,None,None,2025-07-17 14:48:44.191074
0,4,0,-2,2,2025-07-17 14:48:45.269220
0,None,None,None,None,2025-07-17 14:48:46.424665
0,None,None,None,None,2025-07-17 14:48:47.545272
0,0,1,-3,0,2025-07-17 14:48:48.592625
0,0,1,-3,0,2025-07-17 14:48:49.678976
0,0,1,-3,0,2025-07-17 14:48:50.763723
0,-6,3,-2,1,2025-07-17 14:48:51.911230
0,5,2,0,2,2025-07-17 14:48:53.073795
