心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-20 23:05:49.912968
0,None,None,None,None,2025-07-20 23:05:50.845152
0,None,None,None,None,2025-07-20 23:05:51.797425
76.43,None,None,None,None,2025-07-20 23:05:52.724338
81.08,None,None,None,None,2025-07-20 23:05:53.645327
82.99,None,None,None,None,2025-07-20 23:05:54.575323
80.86,None,None,None,None,2025-07-20 23:05:55.503504
80.86,None,None,None,None,2025-07-20 23:05:56.399903
81.08,-1,0,-3,0,2025-07-20 23:05:57.323871
82.99,-1,0,-3,0,2025-07-20 23:05:58.215096
80.97,None,None,None,None,2025-07-20 23:05:59.137920
82.99,None,None,None,None,2025-07-20 23:06:00.061561
81.08,-1,0,-1,1,2025-07-20 23:06:00.982704
82.99,-1,0,-2,-1,2025-07-20 23:06:01.909625
80.97,-1,0,-2,-1,2025-07-20 23:06:02.804181
80.97,-1,0,-2,-1,2025-07-20 23:06:03.731108
82.99,-8,-1,0,0,2025-07-20 23:06:04.660325
81.08,None,None,None,None,2025-07-20 23:06:05.594792
83.1,None,None,None,None,2025-07-20 23:06:06.517131
82.99,-2,0,-6,-1,2025-07-20 23:06:07.439201
81.08,-2,0,-6,0,2025-07-20 23:06:08.366290
82.99,-2,0,-6,1,2025-07-20 23:06:09.292839
81.08,-6,2,3,-1,2025-07-20 23:06:10.221979
82.99,None,None,None,None,2025-07-20 23:06:11.180107
80.97,-4,0,-4,0,2025-07-20 23:06:12.105317
82.99,-2,0,-5,0,2025-07-20 23:06:13.030423
81.08,-3,0,0,1,2025-07-20 23:06:13.949082
82.99,-5,1,2,0,2025-07-20 23:06:14.875541
81.08,-3,2,1,0,2025-07-20 23:06:15.798829
83.1,None,None,None,None,2025-07-20 23:06:16.724618
82.99,None,None,None,None,2025-07-20 23:06:17.643275
80.97,None,None,None,None,2025-07-20 23:06:18.567094
83.1,2,-1,-4,-2,2025-07-20 23:06:19.505705
80.86,None,None,None,None,2025-07-20 23:06:20.430152
83.22,-2,-1,6,0,2025-07-20 23:06:21.356122
82.99,None,None,None,None,2025-07-20 23:06:22.278793
81.08,None,None,None,None,2025-07-20 23:06:23.205119
82.99,2,0,0,1,2025-07-20 23:06:24.123392
81.08,None,None,None,None,2025-07-20 23:06:25.061002
83.1,7,-1,1,1,2025-07-20 23:06:25.981324
82.99,7,-1,1,1,2025-07-20 23:06:26.877953
