心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-21 10:02:38.404757
0,None,None,None,None,2025-07-21 10:02:39.265659
0,None,None,None,None,2025-07-21 10:02:40.125298
76.43,None,None,None,None,2025-07-21 10:02:40.981638
80.86,-13,-2,2,3,2025-07-21 10:02:41.836878
80.86,3,2,-3,1,2025-07-21 10:02:42.697923
80.97,3,2,-3,1,2025-07-21 10:02:43.589449
80.97,4,-2,2,0,2025-07-21 10:02:44.483210
80.75,None,None,None,None,2025-07-21 10:02:45.341209
80.97,None,None,None,None,2025-07-21 10:02:46.201713
80.86,None,None,None,None,2025-07-21 10:02:47.061013
80.86,None,None,None,None,2025-07-21 10:02:47.954941
80.97,None,None,None,None,2025-07-21 10:02:48.813223
80.86,0,-2,-6,0,2025-07-21 10:02:49.673802
80.86,0,-3,-1,-2,2025-07-21 10:02:50.534677
80.86,0,-3,-1,-2,2025-07-21 10:02:51.394337
80.97,0,-3,-1,-2,2025-07-21 10:02:52.254132
80.86,1,-3,-3,1,2025-07-21 10:02:53.146546
80.86,1,-3,-3,1,2025-07-21 10:02:54.009447
80.97,0,-2,1,-2,2025-07-21 10:02:54.869788
80.86,0,-2,1,-2,2025-07-21 10:02:55.729436
80.86,0,-2,1,-2,2025-07-21 10:02:56.589863
80.97,3,1,3,-1,2025-07-21 10:02:57.445909
80.86,None,None,None,None,2025-07-21 10:02:58.302345
80.86,None,None,None,None,2025-07-21 10:02:59.156036
80.97,2,1,-2,0,2025-07-21 10:03:00.052641
80.86,-2,-1,2,-2,2025-07-21 10:03:00.910117
80.86,None,None,None,None,2025-07-21 10:03:01.803464
80.86,5,1,-1,0,2025-07-21 10:03:02.697436
83.33,5,1,-1,0,2025-07-21 10:03:03.590258
82.99,None,None,None,None,2025-07-21 10:03:04.450977
80.75,-1,-3,3,1,2025-07-21 10:03:05.310410
80.97,None,None,None,None,2025-07-21 10:03:06.166214
80.97,None,None,None,None,2025-07-21 10:03:07.029798
80.86,None,None,None,None,2025-07-21 10:03:07.924174
80.86,0,-1,-7,0,2025-07-21 10:03:08.784226
80.86,-6,0,-12,-1,2025-07-21 10:03:09.646761
80.97,-1,3,-7,1,2025-07-21 10:03:10.532352
80.86,3,0,-13,-1,2025-07-21 10:03:11.396784
80.86,3,0,-1,1,2025-07-21 10:03:12.291752
80.97,None,None,None,None,2025-07-21 10:03:13.149947
80.75,None,None,None,None,2025-07-21 10:03:14.011237
80.97,1,-5,-9,-1,2025-07-21 10:03:14.864326
80.97,0,-3,-3,-3,2025-07-21 10:03:15.726574
80.75,None,None,None,None,2025-07-21 10:03:16.586833
80.97,1,0,-8,2,2025-07-21 10:03:17.446773
80.97,None,None,None,None,2025-07-21 10:03:18.337883
80.86,None,None,None,None,2025-07-21 10:03:19.210715
80.86,None,None,None,None,2025-07-21 10:03:20.064689
80.86,2,-2,-11,0,2025-07-21 10:03:20.926956
80.97,None,None,None,None,2025-07-21 10:03:21.787151
80.86,-2,-1,-1,0,2025-07-21 10:03:22.681111
80.86,-2,2,-1,0,2025-07-21 10:03:23.542066
80.97,2,0,0,-1,2025-07-21 10:03:24.398003
80.75,2,0,0,-1,2025-07-21 10:03:25.253214
80.97,None,None,None,None,2025-07-21 10:03:26.115558
80.97,None,None,None,None,2025-07-21 10:03:26.978765
80.75,None,None,None,None,2025-07-21 10:03:27.838474
80.97,None,None,None,None,2025-07-21 10:03:28.699652
80.97,None,None,None,None,2025-07-21 10:03:29.557924
80.86,-7,3,-6,2,2025-07-21 10:03:30.419310
80.86,6,-4,-8,0,2025-07-21 10:03:31.279189
80.86,None,None,None,None,2025-07-21 10:03:32.135205
80.97,-2,-3,-18,0,2025-07-21 10:03:32.998806
80.86,-2,-2,7,2,2025-07-21 10:03:33.858471
80.86,-1,2,-17,-1,2025-07-21 10:03:34.718898
80.97,None,None,None,None,2025-07-21 10:03:35.579876
80.75,None,None,None,None,2025-07-21 10:03:36.435070
80.97,-2,0,0,1,2025-07-21 10:03:37.298303
80.97,-2,0,0,1,2025-07-21 10:03:38.193428
80.75,-2,0,0,1,2025-07-21 10:03:39.052931
80.97,None,None,None,None,2025-07-21 10:03:39.910508
80.97,None,None,None,None,2025-07-21 10:03:40.734302
80.86,None,None,None,None,2025-07-21 10:03:41.595284
80.86,-3,-1,0,-1,2025-07-21 10:03:42.453978
80.86,-4,1,-2,-1,2025-07-21 10:03:43.346996
83.1,None,None,None,None,2025-07-21 10:03:44.201550
83.22,None,None,None,None,2025-07-21 10:03:45.096732
80.75,None,None,None,None,2025-07-21 10:03:45.957850
80.97,None,None,None,None,2025-07-21 10:03:46.854087
80.86,None,None,None,None,2025-07-21 10:03:47.715812
80.86,0,0,0,-1,2025-07-21 10:03:48.609041
