心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
81.08,None,None,None,None,2025-07-11 20:48:28.060430
81.08,None,None,None,None,2025-07-11 20:48:28.880597
81.19,None,None,None,None,2025-07-11 20:48:29.663846
80.97,None,None,None,None,2025-07-11 20:48:30.485018
81.19,None,None,None,None,2025-07-11 20:48:31.300058
78.95,None,None,None,None,2025-07-11 20:48:32.125549
81.08,None,None,None,None,2025-07-11 20:48:32.941486
None,0,0,2,-1,2025-07-11 20:48:34.956558
None,None,None,None,None,2025-07-11 20:48:36.969427
None,None,None,None,None,2025-07-11 20:48:38.975173
None,None,None,None,None,2025-07-11 20:48:40.978356
None,None,None,None,None,2025-07-11 20:48:42.986084
None,None,None,None,None,2025-07-11 20:48:44.998888
