心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
None,None,None,None,None,2025-07-12 11:06:04.823723
76.63,None,None,None,None,2025-07-12 11:06:05.945108
81.08,-3,-1,-4,0,2025-07-12 11:06:07.002233
80.97,-3,-2,-5,0,2025-07-12 11:06:08.050747
81.19,None,None,None,None,2025-07-12 11:06:09.156013
81.19,None,None,None,None,2025-07-12 11:06:10.202418
80.97,0,-1,-3,1,2025-07-12 11:06:11.256163
81.19,0,-1,-3,1,2025-07-12 11:06:12.330109
81.08,None,None,None,None,2025-07-12 11:06:13.380024
81.08,-1,-2,-4,0,2025-07-12 11:06:14.458117
80.97,None,None,None,None,2025-07-12 11:06:15.602896
81.19,5,0,0,0,2025-07-12 11:06:16.649376
80.97,6,0,0,0,2025-07-12 11:06:17.698388
81.19,-3,-2,-5,0,2025-07-12 11:06:18.771153
81.08,None,None,None,None,2025-07-12 11:06:19.825165
81.08,None,None,None,None,2025-07-12 11:06:20.873074
81.08,None,None,None,None,2025-07-12 11:06:21.960915
81.19,None,None,None,None,2025-07-12 11:06:23.010091
80.97,-4,-2,-5,0,2025-07-12 11:06:24.046805
81.08,None,None,None,None,2025-07-12 11:06:25.099260
81.08,None,None,None,None,2025-07-12 11:06:26.186360
81.08,None,None,None,None,2025-07-12 11:06:27.234217
81.08,1,0,-3,1,2025-07-12 11:06:28.275598
81.08,None,None,None,None,2025-07-12 11:06:29.355905
81.08,-1,-1,1,0,2025-07-12 11:06:30.405885
81.08,None,None,None,None,2025-07-12 11:06:31.457641
81.08,-1,-2,3,1,2025-07-12 11:06:32.516430
80.97,None,None,None,None,2025-07-12 11:06:33.565441
81.19,None,None,None,None,2025-07-12 11:06:34.620167
81.08,None,None,None,None,2025-07-12 11:06:35.677487
80.97,None,None,None,None,2025-07-12 11:06:36.733197
81.3,-4,-2,0,0,2025-07-12 11:06:37.787969
81.08,None,None,None,None,2025-07-12 11:06:38.841014
80.97,None,None,None,None,2025-07-12 11:06:39.890491
None,None,None,None,None,2025-07-12 11:06:40.945646
None,None,None,None,None,2025-07-12 11:06:42.002926
None,None,None,None,None,2025-07-12 11:06:43.059200
None,None,None,None,None,2025-07-12 11:06:44.112914
None,None,None,None,None,2025-07-12 11:06:45.196902
None,5,-1,-2,1,2025-07-12 11:06:46.314204
None,2,0,-5,0,2025-07-12 11:06:47.364891
None,0,2,-6,-1,2025-07-12 11:06:48.445538
