心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-14 22:23:34.378213
0,3,0,-3,0,2025-07-14 22:23:35.465456
0,-13,-1,-2,1,2025-07-14 22:23:36.511408
76.53,-4,2,-4,1,2025-07-14 22:23:37.550400
81.19,-5,1,-4,0,2025-07-14 22:23:38.629637
81.08,1,1,-4,0,2025-07-14 22:23:39.719792
81.08,1,1,-4,0,2025-07-14 22:23:40.768322
81.19,1,1,-4,0,2025-07-14 22:23:41.846365
80.97,1,1,-4,0,2025-07-14 22:23:42.969712
81.19,1,1,-4,0,2025-07-14 22:23:44.021467
81.19,1,1,-4,0,2025-07-14 22:23:45.098705
80.97,1,1,-4,0,2025-07-14 22:23:46.147121
81.19,1,1,-4,0,2025-07-14 22:23:47.196851
81.19,1,1,-4,0,2025-07-14 22:23:48.290942
80.97,1,0,1,-1,2025-07-14 22:23:49.412137
81.19,-14,1,1,-2,2025-07-14 22:23:50.462033
80.97,2,0,2,0,2025-07-14 22:23:51.551463
81.08,-2,1,-3,0,2025-07-14 22:23:52.599605
81.19,3,0,-2,1,2025-07-14 22:23:53.636023
81.08,None,None,None,None,2025-07-14 22:23:54.740092
81.08,None,None,None,None,2025-07-14 22:23:55.874427
81.08,None,None,None,None,2025-07-14 22:23:57.028193
81.19,None,None,None,None,2025-07-14 22:23:58.117055
80.97,None,None,None,None,2025-07-14 22:23:59.256713
81.19,None,None,None,None,2025-07-14 22:24:00.320405
81.19,None,None,None,None,2025-07-14 22:24:01.401667
80.86,None,None,None,None,2025-07-14 22:24:02.509730
81.19,-1,-2,-1,1,2025-07-14 22:24:03.578441
81.19,-2,-2,-5,1,2025-07-14 22:24:04.631177
80.97,-2,-3,-2,1,2025-07-14 22:24:05.753257
81.19,2,1,-3,1,2025-07-14 22:24:06.833769
81.08,2,1,-3,1,2025-07-14 22:24:07.965001
81.08,-1,0,-11,0,2025-07-14 22:24:09.125573
81.08,-1,0,-11,0,2025-07-14 22:24:10.204335
81.08,11,-4,3,-2,2025-07-14 22:24:11.281153
81.19,7,-4,-5,1,2025-07-14 22:24:12.430592
81.08,1,-2,1,0,2025-07-14 22:24:13.490100
81.19,5,-1,2,1,2025-07-14 22:24:14.539710
80.97,-1,1,10,0,2025-07-14 22:24:15.641364
0,-2,0,11,-2,2025-07-14 22:24:16.722327
0,-1,-1,0,-1,2025-07-14 22:24:17.775055
0,2,-1,5,2,2025-07-14 22:24:18.846001
0,1,2,7,1,2025-07-14 22:24:19.896152
0,1,1,8,-1,2025-07-14 22:24:20.943320
0,4,0,10,0,2025-07-14 22:24:21.995899
0,0,2,-3,1,2025-07-14 22:24:23.052984
0,2,1,-2,1,2025-07-14 22:24:24.130915
0,-2,0,10,-1,2025-07-14 22:24:25.210242
0,-3,0,-1,-3,2025-07-14 22:24:26.267142
0,-3,0,-3,0,2025-07-14 22:24:27.315331
0,-3,0,-3,0,2025-07-14 22:24:28.399948
0,None,None,None,None,2025-07-14 22:24:29.470650
0,2,1,3,3,2025-07-14 22:24:30.604055
0,-2,-1,2,-3,2025-07-14 22:24:31.780197
0,-2,-2,1,-4,2025-07-14 22:24:32.859245
0,1,0,6,-1,2025-07-14 22:24:33.993173
0,-5,2,-8,0,2025-07-14 22:24:35.135999
