心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-14 22:08:15.062403
0,1,1,-6,0,2025-07-14 22:08:16.072416
0,1,1,-6,0,2025-07-14 22:08:17.009550
0,0,1,-3,0,2025-07-14 22:08:17.947025
0,None,None,None,None,2025-07-14 22:08:18.898883
0,-2,-1,0,1,2025-07-14 22:08:19.868100
0,None,None,None,None,2025-07-14 22:08:20.815105
0,-8,-1,5,-1,2025-07-14 22:08:21.758684
0,None,None,None,None,2025-07-14 22:08:22.711608
0,4,1,-2,1,2025-07-14 22:08:23.649491
0,1,0,-4,-1,2025-07-14 22:08:24.624167
0,None,None,None,None,2025-07-14 22:08:25.565740
0,-2,3,-6,0,2025-07-14 22:08:26.565548
0,None,None,None,None,2025-07-14 22:08:27.588415
0,0,1,-5,1,2025-07-14 22:08:28.624896
0,-11,0,-3,1,2025-07-14 22:08:29.630644
0,None,None,None,None,2025-07-14 22:08:30.619545
0,-4,-1,1,0,2025-07-14 22:08:31.600859
0,-8,2,0,-1,2025-07-14 22:08:32.597383
0,-6,1,-6,-1,2025-07-14 22:08:33.660260
0,-9,1,3,0,2025-07-14 22:08:34.712620
0,2,1,-4,1,2025-07-14 22:08:35.751379
0,-13,1,-3,1,2025-07-14 22:08:36.837765
0,0,1,9,2,2025-07-14 22:08:37.952002
0,None,None,None,None,2025-07-14 22:08:39.013996
0,0,2,-4,0,2025-07-14 22:08:40.085867
0,None,None,None,None,2025-07-14 22:08:41.135132
0,-2,-1,-6,1,2025-07-14 22:08:42.179685
0,4,0,-7,1,2025-07-14 22:08:43.272641
0,0,2,-5,1,2025-07-14 22:08:44.332537
0,2,0,-10,1,2025-07-14 22:08:45.374092
0,3,0,-1,2,2025-07-14 22:08:46.453704
0,6,0,-1,2,2025-07-14 22:08:47.505569
0,1,1,-3,1,2025-07-14 22:08:48.557603
0,-2,-1,-8,0,2025-07-14 22:08:49.657690
0,None,None,None,None,2025-07-14 22:08:50.699511
