心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
None,None,None,None,None,2025-07-11 23:52:33.962935
76.53,None,None,None,None,2025-07-11 23:52:34.850588
81.19,None,None,None,None,2025-07-11 23:52:35.743441
81.08,None,None,None,None,2025-07-11 23:52:36.621522
None,None,None,None,None,2025-07-11 23:52:37.504569
None,None,None,None,None,2025-07-11 23:52:38.589952
None,None,None,None,None,2025-07-11 23:52:39.790594
80.97,None,None,None,None,2025-07-11 23:52:41.220820
81.08,None,None,None,None,2025-07-11 23:52:42.103983
81.19,None,None,None,None,2025-07-11 23:52:42.983624
80.97,None,None,None,None,2025-07-11 23:52:43.863839
81.08,None,None,None,None,2025-07-11 23:52:44.741775
81.19,None,None,None,None,2025-07-11 23:52:45.621870
52.63,None,None,None,None,2025-07-11 23:52:46.508379
81.08,None,None,None,None,2025-07-11 23:52:47.353482
81.08,None,None,None,None,2025-07-11 23:52:48.235942
80.97,None,None,None,None,2025-07-11 23:52:49.119043
73.26,None,None,None,None,2025-07-11 23:52:50.004282
80.97,None,None,None,None,2025-07-11 23:52:50.888581
81.19,None,None,None,None,2025-07-11 23:52:51.768152
81.08,3,-1,0,0,2025-07-11 23:52:52.652838
81.08,1,0,0,-1,2025-07-11 23:52:53.534341
81.08,3,0,2,0,2025-07-11 23:52:54.419118
81.19,None,None,None,None,2025-07-11 23:52:55.303697
80.86,None,None,None,None,2025-07-11 23:52:56.183290
81.19,None,None,None,None,2025-07-11 23:52:57.065100
81.19,None,None,None,None,2025-07-11 23:52:57.941928
80.97,0,0,2,-1,2025-07-11 23:52:58.783721
81.19,None,None,None,None,2025-07-11 23:52:59.667203
80.97,None,None,None,None,2025-07-11 23:53:00.524587
81.08,None,None,None,None,2025-07-11 23:53:01.373072
81.19,None,None,None,None,2025-07-11 23:53:02.251534
81.08,None,None,None,None,2025-07-11 23:53:03.130565
81.08,None,None,None,None,2025-07-11 23:53:04.007583
81.08,None,None,None,None,2025-07-11 23:53:04.888343
81.08,None,None,None,None,2025-07-11 23:53:05.765261
81.08,None,None,None,None,2025-07-11 23:53:06.662002
81.08,None,None,None,None,2025-07-11 23:53:07.556272
81.19,None,None,None,None,2025-07-11 23:53:08.436484
80.97,None,None,None,None,2025-07-11 23:53:09.313714
81.19,None,None,None,None,2025-07-11 23:53:10.223800
81.19,None,None,None,None,2025-07-11 23:53:11.105013
80.86,None,None,None,None,2025-07-11 23:53:11.989330
