心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-20 23:23:45.283228
0,None,None,None,None,2025-07-20 23:23:46.175228
0,None,None,None,None,2025-07-20 23:23:47.098527
76.43,None,None,None,None,2025-07-20 23:23:47.987296
81.08,None,None,None,None,2025-07-20 23:23:48.959136
82.99,None,None,None,None,2025-07-20 23:23:49.895365
80.86,None,None,None,None,2025-07-20 23:23:50.866084
81.08,None,None,None,None,2025-07-20 23:23:51.760846
82.99,None,None,None,None,2025-07-20 23:23:52.687567
81.08,None,None,None,None,2025-07-20 23:23:53.578914
82.99,None,None,None,None,2025-07-20 23:23:54.515420
80.86,None,None,None,None,2025-07-20 23:23:55.437055
81.08,None,None,None,None,2025-07-20 23:23:56.365845
82.99,None,None,None,None,2025-07-20 23:23:57.327039
80.97,None,None,None,None,2025-07-20 23:23:57.684368
80.86,None,None,None,None,2025-07-20 23:23:57.835079
80.97,None,None,None,None,2025-07-20 23:23:58.011732
80.86,None,None,None,None,2025-07-20 23:23:58.175638
80.86,None,None,None,None,2025-07-20 23:23:58.343978
0,None,None,None,None,2025-07-20 23:23:58.488849
80.97,None,None,None,None,2025-07-20 23:23:58.651518
0,None,None,None,None,2025-07-20 23:23:58.823163
0,None,None,None,None,2025-07-20 23:23:58.990302
0,None,None,None,None,2025-07-20 23:23:59.158313
80.75,None,None,None,None,2025-07-20 23:23:59.328659
0,None,None,None,None,2025-07-20 23:23:59.499751
0,None,None,None,None,2025-07-20 23:23:59.682973
0,None,None,None,None,2025-07-20 23:23:59.908039
80.97,None,None,None,None,2025-07-20 23:24:00.074036
0,None,None,None,None,2025-07-20 23:24:00.246111
0,None,None,None,None,2025-07-20 23:24:00.412849
0,None,None,None,None,2025-07-20 23:24:00.584636
81.08,None,None,None,None,2025-07-20 23:24:00.756361
0,None,None,None,None,2025-07-20 23:24:00.922652
0,None,None,None,None,2025-07-20 23:24:01.123956
0,None,None,None,None,2025-07-20 23:24:01.293015
0,None,None,None,None,2025-07-20 23:24:01.463276
82.99,None,None,None,None,2025-07-20 23:24:01.635140
0,None,None,None,None,2025-07-20 23:24:01.802160
0,None,None,None,None,2025-07-20 23:24:01.972397
0,None,None,None,None,2025-07-20 23:24:02.143500
80.86,None,None,None,None,2025-07-20 23:24:02.312672
0,None,None,None,None,2025-07-20 23:24:02.482617
0,None,None,None,None,2025-07-20 23:24:02.653561
0,None,None,None,None,2025-07-20 23:24:02.820087
80.97,None,None,None,None,2025-07-20 23:24:02.989097
0,None,None,None,None,2025-07-20 23:24:03.158476
0,None,None,None,None,2025-07-20 23:24:03.327607
0,None,None,None,None,2025-07-20 23:24:03.498968
0,None,None,None,None,2025-07-20 23:24:03.667709
80.97,None,None,None,None,2025-07-20 23:24:03.835320
0,None,None,None,None,2025-07-20 23:24:04.012151
0,None,None,None,None,2025-07-20 23:24:04.180342
0,None,None,None,None,2025-07-20 23:24:04.344134
80.75,None,None,None,None,2025-07-20 23:24:04.517962
0,None,None,None,None,2025-07-20 23:24:04.684806
0,None,None,None,None,2025-07-20 23:24:04.854515
0,None,None,None,None,2025-07-20 23:24:05.025339
80.97,None,None,None,None,2025-07-20 23:24:05.225285
0,None,None,None,None,2025-07-20 23:24:06.260958
80.97,None,None,None,None,2025-07-20 23:24:07.218982
80.86,None,None,None,None,2025-07-20 23:24:08.143278
80.86,None,None,None,None,2025-07-20 23:24:09.032878
80.86,None,None,None,None,2025-07-20 23:24:09.959002
80.97,None,None,None,None,2025-07-20 23:24:10.875597
80.86,None,None,None,None,2025-07-20 23:24:11.765270
80.86,None,None,None,None,2025-07-20 23:24:12.691269
0,None,None,None,None,2025-07-20 23:24:13.662059
0,None,None,None,None,2025-07-20 23:24:14.554495
