心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
None,None,None,None,None,2025-07-06 14:32:36.497799
None,0,2,2,0,2025-07-06 14:32:37.379380
None,1,1,4,1,2025-07-06 14:32:38.196736
None,0,0,6,0,2025-07-06 14:32:39.015171
None,0,-2,2,-2,2025-07-06 14:32:39.829405
None,-1,-1,14,-2,2025-07-06 14:32:40.645566
None,-1,-1,14,-2,2025-07-06 14:32:41.429690
None,-1,-1,14,-2,2025-07-06 14:32:42.218784
None,-1,-1,14,-2,2025-07-06 14:32:43.039585
None,-1,-1,14,-2,2025-07-06 14:32:43.786503
None,-1,-1,14,-2,2025-07-06 14:32:44.568742
None,-1,-1,14,-2,2025-07-06 14:32:45.356445
None,-1,-1,14,-2,2025-07-06 14:32:46.145218
None,-1,-1,14,-2,2025-07-06 14:32:46.934103
None,-1,-1,14,-2,2025-07-06 14:32:47.717299
None,-1,-1,14,-2,2025-07-06 14:32:48.497659
