心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
None,None,None,None,None,2025-07-12 11:35:28.377204
76.63,None,None,None,None,2025-07-12 11:35:29.511037
81.08,-2,2,8,0,2025-07-12 11:35:30.555429
80.97,-2,-1,7,0,2025-07-12 11:35:31.607339
81.3,-2,-1,6,-1,2025-07-12 11:35:32.676930
81.08,0,1,5,-1,2025-07-12 11:35:33.724826
80.97,2,0,7,0,2025-07-12 11:35:34.768258
81.19,1,0,9,0,2025-07-12 11:35:35.811734
81.08,-3,-1,5,-1,2025-07-12 11:35:36.884438
80.97,None,None,None,None,2025-07-12 11:35:37.932710
81.08,-5,-2,6,-1,2025-07-12 11:35:38.986718
81.19,1,2,-1,1,2025-07-12 11:35:40.031137
80.97,1,2,5,2,2025-07-12 11:35:41.115247
81.3,-1,1,10,0,2025-07-12 11:35:42.155452
81.08,None,None,None,None,2025-07-12 11:35:43.205474
80.97,0,-1,5,0,2025-07-12 11:35:44.273098
81.08,-2,-1,5,0,2025-07-12 11:35:45.332421
81.19,2,0,8,0,2025-07-12 11:35:46.376176
80.97,7,1,-2,1,2025-07-12 11:35:47.425783
81.08,-5,-1,0,0,2025-07-12 11:35:48.513172
81.19,1,1,0,0,2025-07-12 11:35:49.562811
80.97,2,0,6,1,2025-07-12 11:35:50.616617
81.08,0,0,0,0,2025-07-12 11:35:51.677537
81.3,-4,-1,0,0,2025-07-12 11:35:52.724794
80.86,2,2,2,3,2025-07-12 11:35:53.772298
81.3,1,2,-7,1,2025-07-12 11:35:54.841322
81.08,-1,-1,2,0,2025-07-12 11:35:55.885316
80.97,-5,-2,-1,0,2025-07-12 11:35:56.930470
81.19,None,None,None,None,2025-07-12 11:35:58.039004
81.08,2,0,2,0,2025-07-12 11:35:59.078090
80.97,-1,0,0,0,2025-07-12 11:36:00.119361
81.19,2,1,8,0,2025-07-12 11:36:01.193514
81.08,2,0,8,0,2025-07-12 11:36:02.245880
80.97,1,2,1,2,2025-07-12 11:36:03.297170
81.3,-6,-2,3,0,2025-07-12 11:36:04.347384
81.08,1,1,0,0,2025-07-12 11:36:05.428011
80.97,1,0,6,2,2025-07-12 11:36:06.534641
81.19,-4,-1,0,0,2025-07-12 11:36:07.589742
80.97,3,0,8,1,2025-07-12 11:36:08.639840
81.08,4,0,7,0,2025-07-12 11:36:09.725102
81.08,0,0,0,0,2025-07-12 11:36:10.766778
81.08,0,2,-1,0,2025-07-12 11:36:11.810928
81.08,8,0,-4,0,2025-07-12 11:36:12.855753
81.08,5,1,4,1,2025-07-12 11:36:13.936898
81.19,10,1,0,2,2025-07-12 11:36:14.976206
81.08,10,1,-3,1,2025-07-12 11:36:16.024547
81.08,-6,2,0,-1,2025-07-12 11:36:17.076929
