心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
80.86,None,None,None,None,2025-07-06 11:41:45.134599
80.86,2,1,0,0,2025-07-06 11:41:50.924559
82.99,1,2,-3,1,2025-07-06 11:41:57.163524
82.99,-1,1,-1,0,2025-07-06 11:42:03.282685
82.99,-1,1,-1,0,2025-07-06 11:42:11.130371
80.86,-1,1,-1,0,2025-07-06 11:42:18.749013
82.99,None,None,None,None,2025-07-06 11:42:27.080158
80.97,2,0,0,0,2025-07-06 11:42:36.189641
80.97,None,None,None,None,2025-07-06 11:42:55.408994
80.97,None,None,None,None,2025-07-06 11:43:10.819943
80.97,-1,1,0,-2,2025-07-06 11:43:28.459622
80.86,0,1,-1,-3,2025-07-06 11:43:40.877203
80.86,0,1,-1,-3,2025-07-06 11:43:56.271187
80.86,0,1,-1,-3,2025-07-06 11:44:19.130854
