心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-21 10:54:22.855368
0,8,1,0,0,2025-07-21 10:54:23.715325
0,None,None,None,None,2025-07-21 10:54:24.574106
76.43,-5,-2,-4,-2,2025-07-21 10:54:25.479745
81.08,None,None,None,None,2025-07-21 10:54:26.337029
83.1,10,-1,-1,2,2025-07-21 10:54:27.234071
83.1,4,0,-3,1,2025-07-21 10:54:28.083520
80.97,0,0,-6,2,2025-07-21 10:54:28.950797
83.1,-5,-1,-2,0,2025-07-21 10:54:29.844801
80.97,None,None,None,None,2025-07-21 10:54:30.741714
82.99,None,None,None,None,2025-07-21 10:54:31.599881
81.08,-3,-1,-1,0,2025-07-21 10:54:32.458845
82.99,3,2,-4,1,2025-07-21 10:54:33.307870
80.97,None,None,None,None,2025-07-21 10:54:34.175465
80.86,-8,-2,-7,1,2025-07-21 10:54:35.064872
81.08,None,None,None,None,2025-07-21 10:54:35.953964
82.99,None,None,None,None,2025-07-21 10:54:36.819127
81.08,None,None,None,None,2025-07-21 10:54:37.670287
82.99,None,None,None,None,2025-07-21 10:54:38.572335
80.97,None,None,None,None,2025-07-21 10:54:39.464335
82.99,None,None,None,None,2025-07-21 10:54:40.357840
81.08,-5,-2,-2,1,2025-07-21 10:54:41.215232
83.1,-3,0,0,1,2025-07-21 10:54:42.074966
80.86,1,-1,-4,2,2025-07-21 10:54:42.929155
80.86,None,None,None,None,2025-07-21 10:54:43.785981
80.97,4,0,0,0,2025-07-21 10:54:44.639269
81.08,-5,-5,2,-5,2025-07-21 10:54:45.529754
82.99,None,None,None,None,2025-07-21 10:54:46.386171
80.97,None,None,None,None,2025-07-21 10:54:47.275941
82.99,None,None,None,None,2025-07-21 10:54:48.137828
81.08,5,-1,-1,-1,2025-07-21 10:54:49.016007
82.99,None,None,None,None,2025-07-21 10:54:49.875395
81.08,1,0,1,-3,2025-07-21 10:54:50.738076
83.1,1,-1,-4,2,2025-07-21 10:54:51.602012
80.75,-1,-2,-1,1,2025-07-21 10:54:52.497996
81.08,8,-1,-1,-1,2025-07-21 10:54:53.390008
83.1,None,None,None,None,2025-07-21 10:54:54.250612
81.08,None,None,None,None,2025-07-21 10:54:55.114715
82.99,None,None,None,None,2025-07-21 10:54:56.010193
80.97,0,1,0,-1,2025-07-21 10:54:56.890692
83.1,1,-3,-11,1,2025-07-21 10:54:57.758063
80.86,None,None,None,None,2025-07-21 10:54:58.650625
81.08,None,None,None,None,2025-07-21 10:54:59.546340
82.99,None,None,None,None,2025-07-21 10:55:00.406725
80.86,2,2,-1,1,2025-07-21 10:55:01.267822
80.86,None,None,None,None,2025-07-21 10:55:02.160725
80.97,None,None,None,None,2025-07-21 10:55:03.020450
80.86,None,None,None,None,2025-07-21 10:55:03.915101
81.08,None,None,None,None,2025-07-21 10:55:04.775946
82.99,None,None,None,None,2025-07-21 10:55:05.671181
80.97,None,None,None,None,2025-07-21 10:55:06.566565
80.75,None,None,None,None,2025-07-21 10:55:07.459120
80.97,None,None,None,None,2025-07-21 10:55:08.350675
80.86,None,None,None,None,2025-07-21 10:55:09.203936
81.08,None,None,None,None,2025-07-21 10:55:10.070084
82.99,None,None,None,None,2025-07-21 10:55:10.931165
80.97,None,None,None,None,2025-07-21 10:55:11.788634
80.75,None,None,None,None,2025-07-21 10:55:12.645326
81.08,None,None,None,None,2025-07-21 10:55:13.504214
83.1,-7,0,-8,0,2025-07-21 10:55:14.366509
80.86,None,None,None,None,2025-07-21 10:55:15.260123
80.97,7,-1,2,0,2025-07-21 10:55:16.118301
83.1,1,-3,-7,0,2025-07-21 10:55:17.003635
80.86,4,-3,3,2,2025-07-21 10:55:17.867443
80.97,None,None,None,None,2025-07-21 10:55:18.761543
80.97,-6,-1,-11,-1,2025-07-21 10:55:19.658512
82.99,None,None,None,None,2025-07-21 10:55:20.520295
80.97,None,None,None,None,2025-07-21 10:55:21.379941
81.08,None,None,None,None,2025-07-21 10:55:22.272061
82.99,9,0,-3,1,2025-07-21 10:55:23.170978
80.86,None,None,None,None,2025-07-21 10:55:24.027460
81.08,None,None,None,None,2025-07-21 10:55:24.883073
82.99,None,None,None,None,2025-07-21 10:55:25.740443
80.97,None,None,None,None,2025-07-21 10:55:26.596416
80.97,-2,0,-6,1,2025-07-21 10:55:27.455199
