心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
80.97,None,None,None,None,2025-07-06 14:47:25.707942

81.08,-1,2,-5,-2,2025-07-06 14:47:26.587874

81.08,2,2,-1,1,2025-07-06 14:47:27.404762

81.19,0,0,0,-2,2025-07-06 14:47:28.225342

81.08,2,1,-7,0,2025-07-06 14:47:29.029521

81.08,-1,1,-4,0,2025-07-06 14:47:29.854151

80.97,-2,2,-4,0,2025-07-06 14:47:30.668177

81.19,1,1,-6,-1,2025-07-06 14:47:31.484345

81.08,1,1,-6,-1,2025-07-06 14:47:32.263984

80.97,1,1,-6,-1,2025-07-06 14:47:33.044314

81.08,1,1,-3,0,2025-07-06 14:47:33.855773

81.08,-1,0,-1,1,2025-07-06 14:47:34.672022

81.08,-3,1,-4,2,2025-07-06 14:47:35.489475

81.08,-1,0,-3,0,2025-07-06 14:47:36.337906

81.08,2,1,-3,1,2025-07-06 14:47:37.153216

80.97,-3,0,-4,2,2025-07-06 14:47:37.968167

81.3,1,1,0,2,2025-07-06 14:47:38.785776

81.08,3,1,-2,1,2025-07-06 14:47:39.600151

80.97,3,1,-5,1,2025-07-06 14:47:40.416033

81.08,0,2,-6,0,2025-07-06 14:47:41.232770

81.08,-1,1,-3,2,2025-07-06 14:47:42.048561

81.08,1,2,-6,2,2025-07-06 14:47:42.871775

81.08,4,1,-4,0,2025-07-06 14:47:43.689857

81.08,0,1,-1,0,2025-07-06 14:47:44.503345

80.97,None,None,None,None,2025-07-06 14:47:45.321030

81.19,None,None,None,None,2025-07-06 14:47:46.100736

80.97,None,None,None,None,2025-07-06 14:47:46.878267

81.08,None,None,None,None,2025-07-06 14:47:47.668164

81.08,None,None,None,None,2025-07-06 14:47:48.451921

80.97,None,None,None,None,2025-07-06 14:47:49.231758

81.19,None,None,None,None,2025-07-06 14:47:50.050250

81.08,None,None,None,None,2025-07-06 14:47:50.832743

80.97,None,None,None,None,2025-07-06 14:47:51.616394

81.08,-2,-1,0,0,2025-07-06 14:47:52.432542

81.3,None,None,None,None,2025-07-06 14:47:53.250076

80.97,-2,-1,-3,2,2025-07-06 14:47:54.063889

81.08,-1,1,-3,2,2025-07-06 14:47:54.873944

81.08,0,-1,-7,0,2025-07-06 14:47:55.693981

81.08,0,-1,-6,-1,2025-07-06 14:47:56.511060

81.08,3,2,-7,0,2025-07-06 14:47:57.328653

81.08,3,1,-7,1,2025-07-06 14:47:58.141528

80.97,1,2,-3,1,2025-07-06 14:47:58.960599

81.19,1,0,-8,-1,2025-07-06 14:47:59.777080

81.08,-2,2,-8,-1,2025-07-06 14:48:00.592437

80.97,-8,-2,-10,0,2025-07-06 14:48:01.409776

81.08,0,2,-10,0,2025-07-06 14:48:02.226080

81.3,0,-1,-9,0,2025-07-06 14:48:03.041383

80.97,-2,1,-8,-1,2025-07-06 14:48:03.857103

81.08,9,0,-6,1,2025-07-06 14:48:04.672551

81.08,None,None,None,None,2025-07-06 14:48:05.491319

80.97,7,0,-5,0,2025-07-06 14:48:06.304601

81.19,3,0,-1,2,2025-07-06 14:48:07.122171

81.08,-4,-1,3,0,2025-07-06 14:48:07.936101

80.97,None,None,None,None,2025-07-06 14:48:08.753466

81.08,5,-1,-5,1,2025-07-06 14:48:09.569026

81.08,5,-1,-5,1,2025-07-06 14:48:10.352772

81.08,5,-1,-5,1,2025-07-06 14:48:11.132910

81.08,5,-1,-5,1,2025-07-06 14:48:11.918397

80.97,5,-1,-5,1,2025-07-06 14:48:12.701397

81.3,5,-1,-5,1,2025-07-06 14:48:13.481856

81.08,5,-1,-5,1,2025-07-06 14:48:14.261415

80.97,5,-1,-5,1,2025-07-06 14:48:15.078354

81.08,5,-1,-5,1,2025-07-06 14:48:15.893461

81.08,5,-1,-5,1,2025-07-06 14:48:16.711040

81.08,5,-1,-5,1,2025-07-06 14:48:17.494407

81.08,5,-1,-5,1,2025-07-06 14:48:18.273553

81.08,5,-1,-5,1,2025-07-06 14:48:19.057113

80.97,5,-1,-5,1,2025-07-06 14:48:19.837439

81.08,0,-1,-2,2,2025-07-06 14:48:20.652210

81.19,-7,2,2,0,2025-07-06 14:48:21.468887

80.97,-10,0,1,0,2025-07-06 14:48:22.280998

81.08,-6,-2,-3,0,2025-07-06 14:48:23.097615

81.08,-6,-2,2,0,2025-07-06 14:48:23.913574

81.19,-2,-1,4,0,2025-07-06 14:48:24.729183

81.08,-2,-1,4,0,2025-07-06 14:48:25.545723

81.08,-2,-1,4,0,2025-07-06 14:48:26.327402

80.97,-2,-1,4,0,2025-07-06 14:48:27.112856

81.19,-2,-1,4,0,2025-07-06 14:48:27.928764

81.08,-2,-1,4,0,2025-07-06 14:48:28.709981

80.97,-2,-1,4,0,2025-07-06 14:48:29.484973

81.08,-2,-1,4,0,2025-07-06 14:48:30.307376

81.19,-2,-1,4,0,2025-07-06 14:48:31.090133

80.97,-2,-1,4,0,2025-07-06 14:48:31.869766

81.08,-2,-1,4,0,2025-07-06 14:48:32.650093

80.97,-2,-1,4,0,2025-07-06 14:48:33.434132

81.19,-2,-1,4,0,2025-07-06 14:48:34.213353

81.08,-2,-1,4,0,2025-07-06 14:48:34.998965

80.97,-2,-1,4,0,2025-07-06 14:48:35.781688

81.08,-2,-1,4,0,2025-07-06 14:48:36.562240

81.3,-2,-1,4,0,2025-07-06 14:48:37.343096

80.97,-2,-1,4,0,2025-07-06 14:48:38.127074

81.08,-2,-1,4,0,2025-07-06 14:48:38.909880

None,-2,-1,4,0,2025-07-06 14:48:39.684270

40.54,-2,-1,4,0,2025-07-06 14:48:40.470298

None,-2,-1,4,0,2025-07-06 14:48:41.250429

40.54,-1,1,-6,0,2025-07-06 14:48:42.069022

81.19,None,None,None,None,2025-07-06 14:48:42.889917

81.08,None,None,None,None,2025-07-06 14:48:43.707929

81.08,None,None,None,None,2025-07-06 14:48:44.485790

80.97,None,None,None,None,2025-07-06 14:48:45.273639

