心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-19 14:39:32.287068
0,None,None,None,None,2025-07-19 14:39:33.239174
0,-6,-1,-1,0,2025-07-19 14:39:34.186444
76.43,-3,-1,-3,-1,2025-07-19 14:39:35.155244
80.86,None,None,None,None,2025-07-19 14:39:36.126537
80.86,None,None,None,None,2025-07-19 14:39:37.081937
80.97,None,None,None,None,2025-07-19 14:39:38.037688
80.86,None,None,None,None,2025-07-19 14:39:39.029991
80.86,-3,1,-13,0,2025-07-19 14:39:40.005712
80.97,0,-2,-1,-1,2025-07-19 14:39:40.955423
80.86,None,None,None,None,2025-07-19 14:39:41.911070
80.86,None,None,None,None,2025-07-19 14:39:42.892312
80.97,None,None,None,None,2025-07-19 14:39:43.880815
80.86,None,None,None,None,2025-07-19 14:39:44.830482
80.86,None,None,None,None,2025-07-19 14:39:45.781399
80.86,None,None,None,None,2025-07-19 14:39:46.795827
80.97,None,None,None,None,2025-07-19 14:39:47.746038
80.86,None,None,None,None,2025-07-19 14:39:48.728093
80.86,0,-1,-2,-2,2025-07-19 14:39:49.674179
80.97,-2,-1,1,-1,2025-07-19 14:39:50.679066
80.86,None,None,None,None,2025-07-19 14:39:51.639766
80.86,None,None,None,None,2025-07-19 14:39:52.628495
80.97,None,None,None,None,2025-07-19 14:39:53.631658
80.86,0,0,-3,0,2025-07-19 14:39:54.644446
80.86,None,None,None,None,2025-07-19 14:39:55.597335
80.97,6,0,-2,0,2025-07-19 14:39:56.557556
80.86,None,None,None,None,2025-07-19 14:39:57.554152
80.86,None,None,None,None,2025-07-19 14:39:58.514831
80.86,-1,0,0,-2,2025-07-19 14:39:59.500722
80.97,None,None,None,None,2025-07-19 14:40:00.575342
83.1,None,None,None,None,2025-07-19 14:40:01.524713
83.1,0,-1,0,-2,2025-07-19 14:40:02.476113
80.86,-2,-1,7,-3,2025-07-19 14:40:03.523157
80.97,2,1,7,-1,2025-07-19 14:40:04.614601
80.86,None,None,None,None,2025-07-19 14:40:05.659590
80.86,3,1,0,2,2025-07-19 14:40:06.609727
80.86,1,0,-4,2,2025-07-19 14:40:07.612675
80.97,-5,-2,-4,-2,2025-07-19 14:40:08.598074
80.86,-7,3,2,-1,2025-07-19 14:40:09.579236
80.86,-8,2,3,-2,2025-07-19 14:40:10.607190
80.97,-12,1,2,1,2025-07-19 14:40:11.555752
80.75,None,None,None,None,2025-07-19 14:40:12.506239
83.33,None,None,None,None,2025-07-19 14:40:13.515472
82.99,None,None,None,None,2025-07-19 14:40:14.481874
80.86,None,None,None,None,2025-07-19 14:40:15.464748
80.97,None,None,None,None,2025-07-19 14:40:16.452223
80.75,4,-1,2,0,2025-07-19 14:40:17.475338
80.97,None,None,None,None,2025-07-19 14:40:18.425307
80.97,None,None,None,None,2025-07-19 14:40:19.426135
80.75,None,None,None,None,2025-07-19 14:40:20.454853
80.97,0,1,1,0,2025-07-19 14:40:21.398832
80.97,None,None,None,None,2025-07-19 14:40:22.392854
80.75,None,None,None,None,2025-07-19 14:40:23.427906
80.97,-6,-1,5,-1,2025-07-19 14:40:24.428571
80.86,None,None,None,None,2025-07-19 14:40:25.380327
80.86,4,-1,0,-2,2025-07-19 14:40:26.357417
80.97,None,None,None,None,2025-07-19 14:40:27.393858
80.86,None,None,None,None,2025-07-19 14:40:28.407818
80.97,None,None,None,None,2025-07-19 14:40:29.366431
0,None,None,None,None,2025-07-19 14:40:30.378885
41.52,None,None,None,None,2025-07-19 14:40:31.409920
80.97,None,None,None,None,2025-07-19 14:40:32.357075
80.86,-1,1,-3,2,2025-07-19 14:40:33.304063
0,-1,1,-3,2,2025-07-19 14:40:34.395590
40.43,None,None,None,None,2025-07-19 14:40:35.446673
83.33,-1,0,-1,-3,2025-07-19 14:40:36.426393
82.99,None,None,None,None,2025-07-19 14:40:37.444501
80.86,0,-3,-1,-1,2025-07-19 14:40:38.488059
80.86,None,None,None,None,2025-07-19 14:40:39.498102
80.86,None,None,None,None,2025-07-19 14:40:40.519727
80.97,None,None,None,None,2025-07-19 14:40:41.555963
80.86,-4,2,-5,2,2025-07-19 14:40:42.539823
83.22,-10,-1,-6,0,2025-07-19 14:40:43.492599
82.99,-10,-1,-6,0,2025-07-19 14:40:44.451855
80.86,2,2,-4,1,2025-07-19 14:40:45.396502
80.97,-6,0,-7,-1,2025-07-19 14:40:46.373082
80.86,-4,-1,-4,1,2025-07-19 14:40:47.409324
0,None,None,None,None,2025-07-19 14:40:48.448262
40.46,5,0,2,-2,2025-07-19 14:40:49.392676
0,5,-1,-8,-1,2025-07-19 14:40:50.374415
41.01,2,-2,12,-2,2025-07-19 14:40:51.331841
0,5,1,-12,1,2025-07-19 14:40:52.293891
40.96,None,None,None,None,2025-07-19 14:40:53.248726
0,None,None,None,None,2025-07-19 14:40:54.258418
0,2,1,1,2,2025-07-19 14:40:55.316909
0,8,1,0,0,2025-07-19 14:40:56.303695
83.1,-1,0,3,-1,2025-07-19 14:40:57.262658
0,None,None,None,None,2025-07-19 14:40:58.212537
0,None,None,None,None,2025-07-19 14:40:59.172178
0,1,-1,1,-2,2025-07-19 14:41:00.151102
0,None,None,None,None,2025-07-19 14:41:01.169053
