心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
None,None,None,None,None,2025-07-11 22:16:26.470068
None,None,None,None,None,2025-07-11 22:16:27.267244
None,None,None,None,None,2025-07-11 22:16:28.050635
None,None,None,None,None,2025-07-11 22:16:29.027516
None,None,None,None,None,2025-07-11 22:16:30.232304
None,0,0,3,-1,2025-07-11 22:16:31.432873
None,0,0,1,-1,2025-07-11 22:16:32.631957
None,0,0,1,-1,2025-07-11 22:16:33.840277
None,0,0,1,-1,2025-07-11 22:16:35.041357
None,0,0,1,-1,2025-07-11 22:16:36.245127
None,0,0,0,0,2025-07-11 22:16:37.065902
None,None,None,None,None,2025-07-11 22:16:37.904735
None,None,None,None,None,2025-07-11 22:16:38.721003
None,None,None,None,None,2025-07-11 22:16:39.551640
None,1,0,-1,-2,2025-07-11 22:16:40.367649
None,None,None,None,None,2025-07-11 22:16:41.214225
None,-1,0,1,-1,2025-07-11 22:16:42.028609
None,0,0,4,1,2025-07-11 22:16:42.844983
