心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
None,None,None,None,None,2025-07-12 00:50:19.056548
76.63,None,None,None,None,2025-07-12 00:50:19.954847
81.19,None,None,None,None,2025-07-12 00:50:20.843188
80.86,None,None,None,None,2025-07-12 00:50:21.734441
81.19,None,None,None,None,2025-07-12 00:50:22.613215
81.19,None,None,None,None,2025-07-12 00:50:23.510247
80.97,None,None,None,None,2025-07-12 00:50:24.391316
81.19,None,None,None,None,2025-07-12 00:50:25.273269
80.97,None,None,None,None,2025-07-12 00:50:26.159654
81.08,None,None,None,None,2025-07-12 00:50:27.042724
81.19,0,-1,-5,-1,2025-07-12 00:50:27.926118
81.08,1,0,0,1,2025-07-12 00:50:28.805014
81.08,3,0,-2,1,2025-07-12 00:50:29.695090
81.08,None,None,None,None,2025-07-12 00:50:30.577773
81.08,2,0,0,-1,2025-07-12 00:50:31.456342
81.19,None,None,None,None,2025-07-12 00:50:32.343090
81.08,None,None,None,None,2025-07-12 00:50:33.223219
81.08,None,None,None,None,2025-07-12 00:50:34.101592
80.97,None,None,None,None,2025-07-12 00:50:34.983455
81.19,None,None,None,None,2025-07-12 00:50:35.862851
81.08,None,None,None,None,2025-07-12 00:50:36.743078
81.19,None,None,None,None,2025-07-12 00:50:37.620437
81.08,None,None,None,None,2025-07-12 00:50:38.506160
81.08,None,None,None,None,2025-07-12 00:50:39.392941
81.08,None,None,None,None,2025-07-12 00:50:40.273618
81.08,2,-1,2,0,2025-07-12 00:50:41.152705
81.08,2,-1,2,0,2025-07-12 00:50:42.032933
80.97,None,None,None,None,2025-07-12 00:50:42.915557
81.08,None,None,None,None,2025-07-12 00:50:43.795469
81.3,None,None,None,None,2025-07-12 00:50:44.674699
80.97,None,None,None,None,2025-07-12 00:50:45.554808
81.08,None,None,None,None,2025-07-12 00:50:46.439986
81.08,2,0,2,-1,2025-07-12 00:50:47.317366
81.08,2,0,2,-1,2025-07-12 00:50:48.199153
81.19,2,0,2,-1,2025-07-12 00:50:49.078496
81.08,None,None,None,None,2025-07-12 00:50:49.962868
80.97,0,0,4,0,2025-07-12 00:50:50.851374
81.08,1,0,1,0,2025-07-12 00:50:51.733673
81.3,None,None,None,None,2025-07-12 00:50:52.613407
80.97,None,None,None,None,2025-07-12 00:50:53.506662
81.08,None,None,None,None,2025-07-12 00:50:54.387882
80.97,None,None,None,None,2025-07-12 00:50:55.266970
81.3,None,None,None,None,2025-07-12 00:50:56.147789
81.08,2,0,1,-2,2025-07-12 00:50:57.026195
80.97,None,None,None,None,2025-07-12 00:50:57.917585
81.08,None,None,None,None,2025-07-12 00:50:58.802226
81.19,None,None,None,None,2025-07-12 00:50:59.685278
80.97,None,None,None,None,2025-07-12 00:51:00.566105
81.08,None,None,None,None,2025-07-12 00:51:01.458859
81.08,None,None,None,None,2025-07-12 00:51:02.340813
81.19,None,None,None,None,2025-07-12 00:51:03.218971
81.08,None,None,None,None,2025-07-12 00:51:04.065651
81.08,None,None,None,None,2025-07-12 00:51:04.943777
81.08,2,0,0,0,2025-07-12 00:51:05.826808
81.19,None,None,None,None,2025-07-12 00:51:06.707073
81.08,None,None,None,None,2025-07-12 00:51:07.585631
83.22,None,None,None,None,2025-07-12 00:51:08.465307
83.33,None,None,None,None,2025-07-12 00:51:09.345901
None,None,None,None,None,2025-07-12 00:51:10.227824
None,3,0,-3,0,2025-07-12 00:51:11.105231
None,None,None,None,None,2025-07-12 00:51:11.988197
None,2,0,2,0,2025-07-12 00:51:12.865915
None,None,None,None,None,2025-07-12 00:51:13.750200
None,None,None,None,None,2025-07-12 00:51:14.652588
None,None,None,None,None,2025-07-12 00:51:15.531749
None,None,None,None,None,2025-07-12 00:51:16.407186
None,None,None,None,None,2025-07-12 00:51:17.288975
None,2,0,-1,0,2025-07-12 00:51:18.181673
None,None,None,None,None,2025-07-12 00:51:19.063657
None,2,0,0,-1,2025-07-12 00:51:19.942787
None,None,None,None,None,2025-07-12 00:51:20.822836
None,None,None,None,None,2025-07-12 00:51:21.709922
None,None,None,None,None,2025-07-12 00:51:22.594016
None,None,None,None,None,2025-07-12 00:51:23.474385
None,None,None,None,None,2025-07-12 00:51:24.369050
None,None,None,None,None,2025-07-12 00:51:25.263900
None,None,None,None,None,2025-07-12 00:51:26.144025
None,None,None,None,None,2025-07-12 00:51:27.022859
None,None,None,None,None,2025-07-12 00:51:27.918690
None,None,None,None,None,2025-07-12 00:51:28.800466
None,None,None,None,None,2025-07-12 00:51:29.685931
None,2,0,0,1,2025-07-12 00:51:30.578751
None,3,0,0,1,2025-07-12 00:51:31.465703
None,None,None,None,None,2025-07-12 00:51:32.359585
None,None,None,None,None,2025-07-12 00:51:33.245005
None,None,None,None,None,2025-07-12 00:51:34.140400
None,3,0,1,1,2025-07-12 00:51:34.992050
None,None,None,None,None,2025-07-12 00:51:35.870626
None,None,None,None,None,2025-07-12 00:51:36.750925
None,3,0,3,-1,2025-07-12 00:51:37.618702
None,None,None,None,None,2025-07-12 00:51:38.508294
None,None,None,None,None,2025-07-12 00:51:39.400979
None,None,None,None,None,2025-07-12 00:51:40.281025
None,None,None,None,None,2025-07-12 00:51:41.179407
None,None,None,None,None,2025-07-12 00:51:42.067472
None,None,None,None,None,2025-07-12 00:51:42.947998
None,None,None,None,None,2025-07-12 00:51:43.828407
None,None,None,None,None,2025-07-12 00:51:44.738973
None,None,None,None,None,2025-07-12 00:51:45.620715
None,None,None,None,None,2025-07-12 00:51:46.499911
