心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
80.97,None,None,None,None,2025-07-11 21:14:59.432351
81.3,None,None,None,None,2025-07-11 21:15:00.252540
81.08,None,None,None,None,2025-07-11 21:15:01.120161
80.97,0,0,2,-1,2025-07-11 21:15:01.937378
81.19,2,-1,0,0,2025-07-11 21:15:02.757847
81.08,None,None,None,None,2025-07-11 21:15:03.593695
80.97,None,None,None,None,2025-07-11 21:15:04.410378
81.19,None,None,None,None,2025-07-11 21:15:05.226192
81.08,None,None,None,None,2025-07-11 21:15:06.040835
80.97,None,None,None,None,2025-07-11 21:15:06.873950
81.3,None,None,None,None,2025-07-11 21:15:07.690014
81.08,None,None,None,None,2025-07-11 21:15:08.539755
80.97,3,0,0,0,2025-07-11 21:15:09.359907
81.19,None,None,None,None,2025-07-11 21:15:10.206985
81.08,None,None,None,None,2025-07-11 21:15:11.026723
80.97,None,None,None,None,2025-07-11 21:15:11.811979
81.19,None,None,None,None,2025-07-11 21:15:12.664158
81.08,None,None,None,None,2025-07-11 21:15:13.499068
80.97,None,None,None,None,2025-07-11 21:15:14.314812
81.19,None,None,None,None,2025-07-11 21:15:15.134698
81.08,None,None,None,None,2025-07-11 21:15:15.954545
81.08,None,None,None,None,2025-07-11 21:15:16.769436
None,None,None,None,None,2025-07-11 21:15:17.603361
None,None,None,None,None,2025-07-11 21:15:18.419649
