心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-17 14:51:38.984747
0,-4,1,-11,0,2025-07-17 14:51:40.138167
0,-1,-2,-12,0,2025-07-17 14:51:41.247970
76.43,None,None,None,None,2025-07-17 14:51:42.307357
80.86,-5,0,-5,0,2025-07-17 14:51:43.392382
80.86,2,-2,1,3,2025-07-17 14:51:44.441427
80.97,None,None,None,None,2025-07-17 14:51:45.491791
80.86,None,None,None,None,2025-07-17 14:51:46.544114
80.86,None,None,None,None,2025-07-17 14:51:47.736490
81.08,None,None,None,None,2025-07-17 14:51:48.802537
82.99,None,None,None,None,2025-07-17 14:51:49.850558
80.86,None,None,None,None,2025-07-17 14:51:50.894768
80.97,None,None,None,None,2025-07-17 14:51:51.942441
