心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-20 23:09:16.569801
0,None,None,None,None,2025-07-20 23:09:17.496027
0,None,None,None,None,2025-07-20 23:09:18.414752
76.43,None,None,None,None,2025-07-20 23:09:19.341810
80.97,None,None,None,None,2025-07-20 23:09:20.266209
80.75,None,None,None,None,2025-07-20 23:09:21.190274
80.97,None,None,None,None,2025-07-20 23:09:22.125061
83.22,None,None,None,None,2025-07-20 23:09:23.048987
82.99,3,-1,6,-1,2025-07-20 23:09:23.972540
80.97,-2,1,-2,1,2025-07-20 23:09:24.897823
80.75,2,-1,2,1,2025-07-20 23:09:25.822206
80.97,-1,-1,-2,0,2025-07-20 23:09:26.749299
82.99,-3,-2,-10,-2,2025-07-20 23:09:27.671544
80.97,None,None,None,None,2025-07-20 23:09:28.597184
80.86,-5,-2,-9,0,2025-07-20 23:09:29.518509
80.86,-6,-1,-4,-1,2025-07-20 23:09:30.446587
80.86,11,-1,3,-2,2025-07-20 23:09:31.377776
80.97,11,-1,3,-2,2025-07-20 23:09:32.271224
82.99,None,None,None,None,2025-07-20 23:09:33.196602
80.97,None,None,None,None,2025-07-20 23:09:34.110886
80.86,None,None,None,None,2025-07-20 23:09:35.001170
80.86,3,-1,3,-2,2025-07-20 23:09:35.941177
80.97,3,-1,3,-2,2025-07-20 23:09:36.869303
82.99,6,0,10,-2,2025-07-20 23:09:37.789343
80.86,None,None,None,None,2025-07-20 23:09:38.687097
80.97,None,None,None,None,2025-07-20 23:09:39.609831
80.86,None,None,None,None,2025-07-20 23:09:40.503582
83.22,None,None,None,None,2025-07-20 23:09:41.389253
82.99,None,None,None,None,2025-07-20 23:09:42.308807
80.86,None,None,None,None,2025-07-20 23:09:43.237189
80.97,None,None,None,None,2025-07-20 23:09:44.128368
83.1,-9,0,-1,-2,2025-07-20 23:09:45.058983
83.1,4,0,-4,-1,2025-07-20 23:09:45.983352
80.86,10,-1,1,1,2025-07-20 23:09:46.908091
80.86,0,-2,0,1,2025-07-20 23:09:47.832247
82.99,0,-2,0,1,2025-07-20 23:09:48.761332
80.97,0,-2,0,1,2025-07-20 23:09:49.655022
80.97,0,-2,0,1,2025-07-20 23:09:50.545310
80.86,0,-2,0,1,2025-07-20 23:09:51.443889
80.86,0,-2,0,1,2025-07-20 23:09:52.368949
80.86,0,-2,0,1,2025-07-20 23:09:53.293524
80.86,0,-2,0,1,2025-07-20 23:09:54.220376
0,0,-2,0,1,2025-07-20 23:09:55.192687
0,0,-2,0,1,2025-07-20 23:09:56.121706
0,0,-2,0,1,2025-07-20 23:09:57.043609
0,0,-2,0,1,2025-07-20 23:09:57.979002
0,0,-2,0,1,2025-07-20 23:09:58.901766
