心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
None,None,None,None,None,2025-07-11 21:28:04.446768
76.63,None,None,None,None,2025-07-11 21:28:05.262705
81.08,None,None,None,None,2025-07-11 21:28:06.094696
81.08,None,None,None,None,2025-07-11 21:28:06.916361
81.08,0,0,0,0,2025-07-11 21:28:07.731175
81.19,3,0,-4,0,2025-07-11 21:28:08.546150
80.97,3,0,0,1,2025-07-11 21:28:09.362214
81.19,1,0,-2,1,2025-07-11 21:28:10.177043
80.97,0,0,0,1,2025-07-11 21:28:10.990654
81.08,0,0,1,0,2025-07-11 21:28:11.804230
81.08,None,None,None,None,2025-07-11 21:28:12.625079
81.08,None,None,None,None,2025-07-11 21:28:13.448214
81.08,None,None,None,None,2025-07-11 21:28:14.266887
81.08,None,None,None,None,2025-07-11 21:28:15.084351
81.08,None,None,None,None,2025-07-11 21:28:15.920159
81.08,None,None,None,None,2025-07-11 21:28:16.735620
81.08,None,None,None,None,2025-07-11 21:28:17.556856
81.08,0,0,-1,0,2025-07-11 21:28:18.375796
81.08,None,None,None,None,2025-07-11 21:28:19.211062
81.19,2,0,4,-1,2025-07-11 21:28:20.027215
81.19,None,None,None,None,2025-07-11 21:28:20.843528
81.19,None,None,None,None,2025-07-11 21:28:21.660420
81.19,None,None,None,None,2025-07-11 21:28:22.475346
81.19,None,None,None,None,2025-07-11 21:28:23.292568
81.19,0,0,3,0,2025-07-11 21:28:24.107210
81.19,0,0,-1,1,2025-07-11 21:28:24.927281
81.19,None,None,None,None,2025-07-11 21:28:25.746622
81.19,0,0,2,-1,2025-07-11 21:28:26.566561
81.19,None,None,None,None,2025-07-11 21:28:27.388569
81.08,0,0,-1,-1,2025-07-11 21:28:28.207353
81.08,0,0,2,0,2025-07-11 21:28:29.027265
81.08,None,None,None,None,2025-07-11 21:28:29.843111
81.08,None,None,None,None,2025-07-11 21:28:30.666265
81.08,1,-1,2,-1,2025-07-11 21:28:31.490553
81.08,1,-1,1,-1,2025-07-11 21:28:32.304656
81.08,0,0,3,0,2025-07-11 21:28:33.125498
81.08,None,None,None,None,2025-07-11 21:28:33.953493
81.08,2,0,0,-1,2025-07-11 21:28:34.766541
81.08,None,None,None,None,2025-07-11 21:28:35.585294
80.97,1,0,3,0,2025-07-11 21:28:36.432152
80.97,0,0,0,0,2025-07-11 21:28:37.250375
80.97,0,0,-1,0,2025-07-11 21:28:38.066697
80.97,None,None,None,None,2025-07-11 21:28:38.885738
80.97,None,None,None,None,2025-07-11 21:28:39.724773
