心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
81.08,None,None,None,None,2025-07-11 21:10:14.271733
81.08,None,None,None,None,2025-07-11 21:10:15.093095
81.19,None,None,None,None,2025-07-11 21:10:15.926535
80.97,None,None,None,None,2025-07-11 21:10:16.744149
81.19,None,None,None,None,2025-07-11 21:10:17.592630
81.08,None,None,None,None,2025-07-11 21:10:18.438635
81.08,None,None,None,None,2025-07-11 21:10:19.255061
81.08,None,None,None,None,2025-07-11 21:10:20.106066
81.19,2,0,1,1,2025-07-11 21:10:20.920638
81.08,0,0,3,0,2025-07-11 21:10:21.757916
81.08,2,0,-1,0,2025-07-11 21:10:22.579108
81.08,None,None,None,None,2025-07-11 21:10:23.400740
81.08,None,None,None,None,2025-07-11 21:10:24.219821
81.19,None,None,None,None,2025-07-11 21:10:25.051708
81.08,None,None,None,None,2025-07-11 21:10:25.867912
80.97,None,None,None,None,2025-07-11 21:10:26.683978
81.3,None,None,None,None,2025-07-11 21:10:27.498213
81.08,2,0,1,-2,2025-07-11 21:10:28.313793
80.97,None,None,None,None,2025-07-11 21:10:29.132453
81.19,None,None,None,None,2025-07-11 21:10:29.985687
81.08,None,None,None,None,2025-07-11 21:10:30.803998
81.08,None,None,None,None,2025-07-11 21:10:31.620283
81.19,2,0,0,-2,2025-07-11 21:10:32.434848
81.08,None,None,None,None,2025-07-11 21:10:33.251570
80.97,2,0,1,-2,2025-07-11 21:10:34.069037
81.3,None,None,None,None,2025-07-11 21:10:34.894414
81.08,None,None,None,None,2025-07-11 21:10:35.745335
80.97,None,None,None,None,2025-07-11 21:10:36.560083
81.08,0,0,2,0,2025-07-11 21:10:37.394272
81.19,2,0,1,-3,2025-07-11 21:10:38.243613
80.97,0,0,1,-2,2025-07-11 21:10:39.058687
81.19,0,0,1,-2,2025-07-11 21:10:39.878772
81.19,0,0,1,-2,2025-07-11 21:10:40.704498
80.97,None,None,None,None,2025-07-11 21:10:41.518409
81.08,None,None,None,None,2025-07-11 21:10:42.336844
81.08,None,None,None,None,2025-07-11 21:10:43.149598
81.19,0,0,1,0,2025-07-11 21:10:43.995821
81.08,3,0,1,-3,2025-07-11 21:10:44.815035
81.08,None,None,None,None,2025-07-11 21:10:45.665667
81.08,None,None,None,None,2025-07-11 21:10:46.484759
81.08,None,None,None,None,2025-07-11 21:10:47.337723
81.19,None,None,None,None,2025-07-11 21:10:48.173157
81.08,None,None,None,None,2025-07-11 21:10:48.988592
81.08,None,None,None,None,2025-07-11 21:10:49.835437
80.97,None,None,None,None,2025-07-11 21:10:50.648656
