心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
None,None,None,None,None,2025-07-11 21:14:10.251463
None,None,None,None,None,2025-07-11 21:14:12.260534
None,None,None,None,None,2025-07-11 21:14:14.278855
None,None,None,None,None,2025-07-11 21:14:16.281913
None,2,0,1,-2,2025-07-11 21:14:18.291431
None,0,0,1,-1,2025-07-11 21:14:20.300969
None,3,0,4,-1,2025-07-11 21:14:22.306764
None,None,None,None,None,2025-07-11 21:14:24.319453
None,1,0,-1,0,2025-07-11 21:14:26.330716
None,0,0,0,0,2025-07-11 21:14:28.342867
None,None,None,None,None,2025-07-11 21:14:30.347172
None,None,None,None,None,2025-07-11 21:14:32.350800
None,None,None,None,None,2025-07-11 21:14:34.366318
None,2,0,1,-2,2025-07-11 21:14:36.370112
None,0,0,2,-1,2025-07-11 21:14:38.378016
None,None,None,None,None,2025-07-11 21:14:40.387375
None,None,None,None,None,2025-07-11 21:14:42.398109
None,None,None,None,None,2025-07-11 21:14:44.401407
None,None,None,None,None,2025-07-11 21:14:46.414514
None,None,None,None,None,2025-07-11 21:14:48.420716
None,1,0,0,-2,2025-07-11 21:14:50.432827
