心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-21 00:19:32.486857
0,None,None,None,None,2025-07-21 00:19:33.415457
0,7,-2,-5,1,2025-07-21 00:19:34.353061
76.43,None,None,None,None,2025-07-21 00:19:35.269370
80.86,-3,1,-11,-2,2025-07-21 00:19:36.186450
80.86,-3,2,-11,-1,2025-07-21 00:19:37.081765
80.97,-3,2,-11,-1,2025-07-21 00:19:38.000762
80.86,-5,2,-4,0,2025-07-21 00:19:38.927682
80.86,None,None,None,None,2025-07-21 00:19:39.846806
80.97,None,None,None,None,2025-07-21 00:19:40.768295
80.86,1,2,3,-1,2025-07-21 00:19:41.691778
80.86,5,1,3,-1,2025-07-21 00:19:42.617105
80.97,5,0,-8,-1,2025-07-21 00:19:43.553796
80.86,3,-2,-1,-2,2025-07-21 00:19:44.510512
80.86,None,None,None,None,2025-07-21 00:19:45.444230
80.86,None,None,None,None,2025-07-21 00:19:46.370119
80.97,None,None,None,None,2025-07-21 00:19:47.299186
80.86,None,None,None,None,2025-07-21 00:19:48.227036
80.86,None,None,None,None,2025-07-21 00:19:49.149605
80.97,None,None,None,None,2025-07-21 00:19:50.078332
80.97,None,None,None,None,2025-07-21 00:19:50.966460
80.75,None,None,None,None,2025-07-21 00:19:51.887228
80.97,-3,1,-5,-2,2025-07-21 00:19:52.811523
80.86,-3,-1,-5,-1,2025-07-21 00:19:53.736192
80.86,0,1,-4,-1,2025-07-21 00:19:54.656769
80.97,0,1,-4,-1,2025-07-21 00:19:55.576028
80.86,0,1,-4,-1,2025-07-21 00:19:56.497469
80.86,-3,-2,0,-3,2025-07-21 00:19:57.439217
80.86,None,None,None,None,2025-07-21 00:19:58.365770
80.97,None,None,None,None,2025-07-21 00:19:59.292697
83.1,2,-3,-2,-2,2025-07-21 00:20:00.230725
83.1,-3,0,-7,-1,2025-07-21 00:20:01.159864
80.86,-3,0,-7,-1,2025-07-21 00:20:02.054760
80.97,-2,-2,-4,0,2025-07-21 00:20:02.977910
80.86,-2,-2,-4,0,2025-07-21 00:20:03.946944
80.86,3,2,-2,3,2025-07-21 00:20:04.868792
80.86,-6,1,-9,-2,2025-07-21 00:20:05.793164
80.97,-6,1,-9,-2,2025-07-21 00:20:06.719822
80.86,-2,-3,-5,1,2025-07-21 00:20:07.643674
80.86,2,1,-8,0,2025-07-21 00:20:08.566436
80.97,19,1,-18,0,2025-07-21 00:20:09.496480
80.86,-1,-1,-9,-2,2025-07-21 00:20:10.420005
80.86,0,0,-1,-1,2025-07-21 00:20:11.348191
80.97,None,None,None,None,2025-07-21 00:20:12.268351
80.86,1,0,-1,0,2025-07-21 00:20:13.191278
80.86,0,0,0,-1,2025-07-21 00:20:14.120480
80.97,1,-2,-5,-1,2025-07-21 00:20:15.051560
80.86,-2,-2,-3,1,2025-07-21 00:20:15.983532
80.86,None,None,None,None,2025-07-21 00:20:16.908838
80.86,-2,2,10,1,2025-07-21 00:20:17.840977
80.97,None,None,None,None,2025-07-21 00:20:18.764210
83.1,-2,-2,-7,-1,2025-07-21 00:20:19.686010
83.1,4,-1,-11,-2,2025-07-21 00:20:20.615690
80.86,None,None,None,None,2025-07-21 00:20:21.544679
80.86,-6,-3,-6,-2,2025-07-21 00:20:22.469962
80.97,None,None,None,None,2025-07-21 00:20:23.406081
80.86,16,1,-1,0,2025-07-21 00:20:24.348317
80.86,16,1,-1,0,2025-07-21 00:20:25.274346
80.97,-4,2,-4,0,2025-07-21 00:20:26.197689
80.75,-4,2,-4,0,2025-07-21 00:20:27.128366
80.97,-5,-4,-1,-3,2025-07-21 00:20:28.052375
83.22,1,-2,-3,3,2025-07-21 00:20:28.978883
82.99,1,-2,-3,3,2025-07-21 00:20:29.909530
80.97,None,None,None,None,2025-07-21 00:20:30.834651
80.75,None,None,None,None,2025-07-21 00:20:31.760172
80.97,None,None,None,None,2025-07-21 00:20:32.684554
80.97,None,None,None,None,2025-07-21 00:20:33.612057
80.75,-5,0,-6,0,2025-07-21 00:20:34.536391
80.97,-5,0,-6,0,2025-07-21 00:20:35.425121
80.97,-3,2,-8,0,2025-07-21 00:20:36.353110
80.75,None,None,None,None,2025-07-21 00:20:37.279687
83.22,-1,0,-1,2,2025-07-21 00:20:38.204601
82.99,-1,0,-1,2,2025-07-21 00:20:39.093892
80.97,None,None,None,None,2025-07-21 00:20:39.984030
80.97,-2,1,-3,0,2025-07-21 00:20:40.921765
80.75,-2,1,-3,0,2025-07-21 00:20:41.844707
80.97,-7,1,-7,-2,2025-07-21 00:20:42.773104
0,-7,1,-7,-2,2025-07-21 00:20:43.695674
40.43,1,2,0,-1,2025-07-21 00:20:44.620983
0,-2,1,-1,1,2025-07-21 00:20:45.547234
40.46,None,None,None,None,2025-07-21 00:20:46.473299
0,1,-3,2,-1,2025-07-21 00:20:47.414530
