心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-17 15:29:48.575278
0,None,None,None,None,2025-07-17 15:29:49.638416
0,None,None,None,None,2025-07-17 15:29:50.723292
76.53,3,3,-4,2,2025-07-17 15:29:51.871102
83.22,3,3,-4,2,2025-07-17 15:29:53.048729
82.99,3,3,-4,2,2025-07-17 15:29:54.191196
81.08,None,None,None,None,2025-07-17 15:29:55.279147
83.1,None,None,None,None,2025-07-17 15:29:56.395449
83.22,None,None,None,None,2025-07-17 15:29:57.446431
82.99,12,0,-5,2,2025-07-17 15:29:58.604417
81.08,-9,-3,2,0,2025-07-17 15:29:59.686696
82.99,-9,-3,2,0,2025-07-17 15:30:00.795358
81.08,4,1,-4,-2,2025-07-17 15:30:01.841011
83.22,None,None,None,None,2025-07-17 15:30:02.928407
0,None,None,None,None,2025-07-17 15:30:04.072236
0,None,None,None,None,2025-07-17 15:30:05.208407
0,None,None,None,None,2025-07-17 15:30:06.414094
0,None,None,None,None,2025-07-17 15:30:07.560860
0,None,None,None,None,2025-07-17 15:30:08.730342
0,None,None,None,None,2025-07-17 15:30:09.871070
0,-1,2,-1,2,2025-07-17 15:30:11.019005
0,None,None,None,None,2025-07-17 15:30:12.169493
0,0,2,-4,1,2025-07-17 15:30:13.312386
