心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-21 00:31:59.226061
0,None,None,None,None,2025-07-21 00:32:00.156754
0,None,None,None,None,2025-07-21 00:32:01.093963
76.53,None,None,None,None,2025-07-21 00:32:02.017855
82.99,None,None,None,None,2025-07-21 00:32:02.950139
81.08,None,None,None,None,2025-07-21 00:32:03.925320
83.22,1,-1,-4,0,2025-07-21 00:32:04.842579
83.1,None,None,None,None,2025-07-21 00:32:05.770056
83.1,None,None,None,None,2025-07-21 00:32:06.701340
81.08,2,-1,-2,-1,2025-07-21 00:32:07.667430
82.99,0,-1,-3,0,2025-07-21 00:32:08.591879
80.97,None,None,None,None,2025-07-21 00:32:09.513951
83.22,2,1,3,-1,2025-07-21 00:32:10.440437
83.1,2,1,3,-1,2025-07-21 00:32:11.367816
80.97,None,None,None,None,2025-07-21 00:32:12.293719
83.1,None,None,None,None,2025-07-21 00:32:13.219464
83.22,-1,-1,-5,0,2025-07-21 00:32:14.154033
82.99,None,None,None,None,2025-07-21 00:32:15.074823
81.08,None,None,None,None,2025-07-21 00:32:16.007015
83.1,3,-1,-1,1,2025-07-21 00:32:16.933303
83.1,3,-1,-1,1,2025-07-21 00:32:17.865907
81.08,3,-1,-1,1,2025-07-21 00:32:18.797617
83.1,3,-1,-1,1,2025-07-21 00:32:19.724443
83.22,3,-1,-1,1,2025-07-21 00:32:20.650774
83.1,3,-1,-1,1,2025-07-21 00:32:21.574785
82.99,3,-1,-1,1,2025-07-21 00:32:22.502219
81.08,3,-1,-1,1,2025-07-21 00:32:23.431455
83.22,3,-1,-1,1,2025-07-21 00:32:24.361127
82.99,-4,1,5,-4,2025-07-21 00:32:25.286112
81.08,1,0,-4,0,2025-07-21 00:32:26.214188
83.1,4,-2,-3,0,2025-07-21 00:32:27.144037
80.97,4,-2,-3,0,2025-07-21 00:32:28.073230
83.22,4,-2,-3,0,2025-07-21 00:32:28.997591
82.99,4,-2,-3,0,2025-07-21 00:32:29.925243
80.86,4,-2,-3,0,2025-07-21 00:32:30.850056
81.08,4,-2,-3,0,2025-07-21 00:32:31.774608
82.99,4,-2,-3,0,2025-07-21 00:32:32.711545
81.08,4,-2,-3,0,2025-07-21 00:32:33.642888
82.99,8,-1,-6,0,2025-07-21 00:32:34.566755
80.86,8,-1,-6,0,2025-07-21 00:32:35.495449
81.08,8,-1,-6,0,2025-07-21 00:32:36.422316
83.22,None,None,None,None,2025-07-21 00:32:37.347070
82.99,None,None,None,None,2025-07-21 00:32:38.271178
80.97,None,None,None,None,2025-07-21 00:32:39.164906
80.97,None,None,None,None,2025-07-21 00:32:40.090422
82.99,5,0,-9,0,2025-07-21 00:32:41.014437
81.08,None,None,None,None,2025-07-21 00:32:41.948280
82.99,6,0,-11,0,2025-07-21 00:32:42.874527
81.08,-2,1,0,0,2025-07-21 00:32:43.798133
82.99,None,None,None,None,2025-07-21 00:32:44.730227
80.86,1,-1,-6,1,2025-07-21 00:32:45.663828
81.08,None,None,None,None,2025-07-21 00:32:46.594833
82.99,2,1,3,-1,2025-07-21 00:32:47.530854
