心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
0,None,None,None,None,2025-07-21 00:36:45.448946
0,7,-2,0,1,2025-07-21 00:36:46.343196
0,-4,4,-7,-2,2025-07-21 00:36:47.228057
76.43,None,None,None,None,2025-07-21 00:36:48.138100
80.86,0,-1,-5,-1,2025-07-21 00:36:49.065319
80.86,None,None,None,None,2025-07-21 00:36:49.946695
80.97,-8,-1,3,-1,2025-07-21 00:36:50.839112
80.97,-1,-2,2,-2,2025-07-21 00:36:51.760718
80.75,None,None,None,None,2025-07-21 00:36:52.649043
80.97,-4,2,-4,0,2025-07-21 00:36:53.568827
80.86,-9,-1,-2,1,2025-07-21 00:36:54.455250
80.86,-6,-2,-3,-1,2025-07-21 00:36:55.342885
80.97,None,None,None,None,2025-07-21 00:36:56.228025
80.86,-4,1,-5,0,2025-07-21 00:36:57.113840
80.86,4,1,0,-1,2025-07-21 00:36:58.002024
80.86,None,None,None,None,2025-07-21 00:36:58.895266
80.97,-8,1,-4,0,2025-07-21 00:36:59.787088
80.97,None,None,None,None,2025-07-21 00:37:00.677309
80.75,0,1,1,1,2025-07-21 00:37:01.563938
80.97,None,None,None,None,2025-07-21 00:37:02.454749
80.97,None,None,None,None,2025-07-21 00:37:03.346049
80.75,None,None,None,None,2025-07-21 00:37:04.273186
80.97,None,None,None,None,2025-07-21 00:37:05.128580
80.86,None,None,None,None,2025-07-21 00:37:06.016521
80.86,None,None,None,None,2025-07-21 00:37:06.908724
80.97,-6,0,2,1,2025-07-21 00:37:07.803649
80.86,-6,-1,-5,-1,2025-07-21 00:37:08.730981
83.22,-1,3,-8,2,2025-07-21 00:37:09.642399
82.99,-1,-1,-1,0,2025-07-21 00:37:10.534948
80.97,0,-2,-4,-1,2025-07-21 00:37:11.429659
80.86,1,-2,0,-1,2025-07-21 00:37:12.322220
80.86,0,-1,-2,-2,2025-07-21 00:37:13.213083
80.97,None,None,None,None,2025-07-21 00:37:14.136562
80.86,None,None,None,None,2025-07-21 00:37:14.993216
80.86,-5,2,-3,1,2025-07-21 00:37:15.924329
80.97,-2,0,-1,-1,2025-07-21 00:37:16.849490
82.99,3,-5,-8,-2,2025-07-21 00:37:17.741333
80.86,-6,1,-7,-1,2025-07-21 00:37:18.643627
80.97,-2,0,-1,1,2025-07-21 00:37:19.535786
80.86,-2,0,-3,0,2025-07-21 00:37:20.427395
80.86,None,None,None,None,2025-07-21 00:37:21.315782
